Nodes in Path,Nodes Explored,Execution Time,Distance,Cost,,,,,,,,,,,,
1,1,1,2,3,,5,5,5,8,32.45,,0.2,0.2,0.2,0.25,0.092449923
4,4,2,5,18.9737,,0,0,0,0,0,,0.8,0.8,0.4,0.625,0.584705701
1,1,1,2,3,,,,,,,,0.2,0.2,0.2,0.25,0.092449923
2,2,1,3,5.65685,,,,,,,,0.4,0.4,0.2,0.375,0.174325116
2,2,2,4,10,,,,,,,,0.4,0.4,0.4,0.5,0.30816641
4,4,2,7,25.2982,,,,,,,,0.8,0.8,0.4,0.875,0.779605547
2,2,0,3,5.65685,,,,,,,,0.4,0.4,0,0.375,0.174325116
3,3,3,3,12,,,,,,,,0.6,0.6,0.6,0.375,0.369799692
0,0,0,0,0,,,,,,,,0,0,0,0,0
2,2,0,3,5.65685,,,,,,,,0.4,0.4,0,0.375,0.174325116
4,4,1,7,25.2982,,,,,,,,0.8,0.8,0.2,0.875,0.779605547
3,3,1,5,13.4164,,,,,,,,0.6,0.6,0.2,0.625,0.413448382
4,4,4,6,19.799,,,,,,,,0.8,0.8,0.8,0.75,0.610138675
3,3,1,5,13.4164,,,,,,,,0.6,0.6,0.2,0.625,0.413448382
4,4,2,5,18.9737,,,,,,,,0.8,0.8,0.4,0.625,0.584705701
0,0,1,0,0,,,,,,,,0,0,0.2,0,0
3,3,3,3,12,,,,,,,,0.6,0.6,0.6,0.375,0.369799692
1,1,0,1,2,,,,,,,,0.2,0.2,0,0.125,0.061633282
2,2,1,3,5.65685,,,,,,,,0.4,0.4,0.2,0.375,0.174325116
3,3,4,3,12,,,,,,,,0.6,0.6,0.8,0.375,0.369799692
4,4,3,6,19.799,,,,,,,,0.8,0.8,0.6,0.75,0.610138675
2,2,1,4,10,,,,,,,,0.4,0.4,0.2,0.5,0.30816641
3,3,3,5,13.4164,,,,,,,,0.6,0.6,0.6,0.625,0.413448382
2,2,1,4,10,,,,,,,,0.4,0.4,0.2,0.5,0.30816641
1,1,0,2,3,,,,,,,,0.2,0.2,0,0.25,0.092449923
3,3,0,5,13.4164,,,,,,,,0.6,0.6,0,0.625,0.413448382
4,4,2,6,19.799,,,,,,,,0.8,0.8,0.4,0.75,0.610138675
2,2,2,3,5.65685,,,,,,,,0.4,0.4,0.4,0.375,0.174325116
1,1,0,2,3,,,,,,,,0.2,0.2,0,0.25,0.092449923
1,1,0,2,3,,,,,,,,0.2,0.2,0,0.25,0.092449923
3,3,1,5,13.4164,,,,,,,,0.6,0.6,0.2,0.625,0.413448382
3,3,1,4,11.1803,,,,,,,,0.6,0.6,0.2,0.5,0.344539291
3,3,3,4,11.1803,,,,,,,,0.6,0.6,0.6,0.5,0.344539291
3,3,2,4,11.1803,,,,,,,,0.6,0.6,0.4,0.5,0.344539291
2,2,0,3,5.65685,,,,,,,,0.4,0.4,0,0.375,0.174325116
3,3,2,4,11.1803,,,,,,,,0.6,0.6,0.4,0.5,0.344539291
3,3,2,3,12,,,,,,,,0.6,0.6,0.4,0.375,0.369799692
1,1,1,1,2,,,,,,,,0.2,0.2,0.2,0.125,0.061633282
4,4,1,7,25.2982,,,,,,,,0.8,0.8,0.2,0.875,0.779605547
3,3,2,4,11.1803,,,,,,,,0.6,0.6,0.4,0.5,0.344539291
1,1,1,2,3,,,,,,,,0.2,0.2,0.2,0.25,0.092449923
2,2,2,3,5.65685,,,,,,,,0.4,0.4,0.4,0.375,0.174325116
1,1,1,2,3,,,,,,,,0.2,0.2,0.2,0.25,0.092449923
2,2,2,3,5.65685,,,,,,,,0.4,0.4,0.4,0.375,0.174325116
3,3,1,6,21,,,,,,,,0.6,0.6,0.2,0.75,0.647149461
3,3,0,3,12,,,,,,,,0.6,0.6,0,0.375,0.369799692
2,2,2,3,5.65685,,,,,,,,0.4,0.4,0.4,0.375,0.174325116
2,2,0,3,5.65685,,,,,,,,0.4,0.4,0,0.375,0.174325116
3,3,1,4,11.1803,,,,,,,,0.6,0.6,0.2,0.5,0.344539291
0,0,0,0,0,,,,,,,,0,0,0,0,0
3,3,2,4,11.1803,,,,,,,,0.6,0.6,0.4,0.5,0.344539291
3,3,3,5,13.4164,,,,,,,,0.6,0.6,0.6,0.625,0.413448382
3,3,1,4,11.1803,,,,,,,,0.6,0.6,0.2,0.5,0.344539291
