Nodes in Path,Nodes Explored,Execution Time,Distance,Cost,,,,,,,,,,,,
5,5,3,6,2.82843,,7,7,7,9,25.2982,,0.666666667,0.666666667,0.428571429,0.666666667,0.108861135
3,3,4,3,1.41421,,1,1,0,0,0,,0.333333333,0.333333333,0.571428571,0.333333333,0.054430375
3,3,1,4,2,,,,,,,,0.333333333,0.333333333,0.142857143,0.444444444,0.076976368
3,3,3,2,2,,,,,,,,0.333333333,0.333333333,0.428571429,0.222222222,0.076976368
3,3,2,4,2,,,,,,,,0.333333333,0.333333333,0.285714286,0.444444444,0.076976368
5,5,6,6,2.82843,,,,,,,,0.666666667,0.666666667,0.857142857,0.666666667,0.108861135
3,3,2,2,6,,,,,,,,0.333333333,0.333333333,0.285714286,0.222222222,0.230929105
3,3,3,3,1.41421,,,,,,,,0.333333333,0.333333333,0.428571429,0.333333333,0.054430375
5,5,4,5,9.48683,,,,,,,,0.666666667,0.666666667,0.571428571,0.555555556,0.36513086
6,6,6,7,3.60555,,,,,,,,0.833333333,0.833333333,0.857142857,0.777777778,0.138771072
3,3,1,3,1.41421,,,,,,,,0.333333333,0.333333333,0.142857143,0.333333333,0.054430375
5,5,3,6,2.82843,,,,,,,,0.666666667,0.666666667,0.428571429,0.666666667,0.108861135
2,2,1,1,1,,,,,,,,0.166666667,0.166666667,0.142857143,0.111111111,0.038488184
2,2,1,1,1,,,,,,,,0.166666667,0.166666667,0.142857143,0.111111111,0.038488184
4,4,3,5,2.23607,,,,,,,,0.5,0.5,0.428571429,0.555555556,0.086062274
2,2,0,1,1,,,,,,,,0.166666667,0.166666667,0,0.111111111,0.038488184
3,3,1,3,1.41421,,,,,,,,0.333333333,0.333333333,0.142857143,0.333333333,0.054430375
3,3,5,4,2,,,,,,,,0.333333333,0.333333333,0.714285714,0.444444444,0.076976368
5,5,3,7,0.00E+00,,,,,,,,0.666666667,0.666666667,0.428571429,0.777777778,0
2,2,2,2,0.00E+00,,,,,,,,0.166666667,0.166666667,0.285714286,0.222222222,0
3,3,2,3,1.41421,,,,,,,,0.333333333,0.333333333,0.285714286,0.333333333,0.054430375
2,2,2,1,1,,,,,,,,0.166666667,0.166666667,0.285714286,0.111111111,0.038488184
5,5,3,6,0.00E+00,,,,,,,,0.666666667,0.666666667,0.428571429,0.666666667,0
4,4,3,5,6.7082,,,,,,,,0.5,0.5,0.428571429,0.555555556,0.258186437
5,5,4,5,3.16228,,,,,,,,0.666666667,0.666666667,0.571428571,0.555555556,0.121710415
2,2,0,1,0.00E+00,,,,,,,,0.166666667,0.166666667,0,0.111111111,0
6,6,4,8,0,,,,,,,,0.833333333,0.833333333,0.571428571,0.888888889,0
4,4,3,4,2.23607,,,,,,,,0.5,0.5,0.428571429,0.444444444,0.086062274
2,2,1,1,1,,,,,,,,0.166666667,0.166666667,0.142857143,0.111111111,0.038488184
5,5,2,5,3.16228,,,,,,,,0.666666667,0.666666667,0.285714286,0.555555556,0.121710415
2,2,2,2,1,,,,,,,,0.166666667,0.166666667,0.285714286,0.222222222,0.038488184
5,5,3,6,5.65685,,,,,,,,0.666666667,0.666666667,0.428571429,0.666666667,0.217721884
4,4,3,4,2.23607,,,,,,,,0.5,0.5,0.428571429,0.444444444,0.086062274
3,3,2,4,2,,,,,,,,0.333333333,0.333333333,0.285714286,0.444444444,0.076976368
4,4,1,5,0.00E+00,,,,,,,,0.5,0.5,0.142857143,0.555555556,0
4,4,2,5,2.23607,,,,,,,,0.5,0.5,0.285714286,0.555555556,0.086062274
2,2,1,2,3,,,,,,,,0.166666667,0.166666667,0.142857143,0.222222222,0.115464552
2,2,0,1,1,,,,,,,,0.166666667,0.166666667,0,0.111111111,0.038488184
3,3,2,3,0.00E+00,,,,,,,,0.333333333,0.333333333,0.285714286,0.333333333,0
3,3,2,2,0.00E+00,,,,,,,,0.333333333,0.333333333,0.285714286,0.222222222,0
4,4,4,4,2.23607,,,,,,,,0.5,0.5,0.571428571,0.444444444,0.086062274
2,2,1,2,0,,,,,,,,0.166666667,0.166666667,0.142857143,0.222222222,0
4,4,4,4,0.00E+00,,,,,,,,0.5,0.5,0.571428571,0.444444444,0
7,7,7,9,4.24264,,,,,,,,1,1,1,1,0.16329151
5,5,2,5,3.16228,,,,,,,,0.666666667,0.666666667,0.285714286,0.555555556,0.121710415
4,4,5,5,2.23607,,,,,,,,0.5,0.5,0.714285714,0.555555556,0.086062274
2,2,0,1,1,,,,,,,,0.166666667,0.166666667,0,0.111111111,0.038488184
2,2,2,2,2,,,,,,,,0.166666667,0.166666667,0.285714286,0.222222222,0.076976368
2,2,2,2,3,,,,,,,,0.166666667,0.166666667,0.285714286,0.222222222,0.115464552
5,5,4,6,2.82843,,,,,,,,0.666666667,0.666666667,0.571428571,0.666666667,0.108861135
3,3,4,3,1.41421,,,,,,,,0.333333333,0.333333333,0.571428571,0.333333333,0.054430375
