Nodes in Path,Nodes Explored,Execution Time,Distance,,,,,,,,,,,
13,15,8,18,,,16,15,15,23,,0.8,1,0.533333333,0.782608696
9,13,5,12,,,1,0,0,0,,0.533333333,0.866666667,0.333333333,0.52173913
5,9,1,6,,,,,,,,0.266666667,0.6,0.066666667,0.260869565
1,0,0,0,,,,,,,,0,0,0,0
15,15,9,21,,,,,,,,0.933333333,1,0.6,0.913043478
3,7,2,2,,,,,,,,0.133333333,0.466666667,0.133333333,0.086956522
11,13,8,13,,,,,,,,0.666666667,0.866666667,0.533333333,0.565217391
5,7,2,5,,,,,,,,0.266666667,0.466666667,0.133333333,0.217391304
5,9,3,6,,,,,,,,0.266666667,0.6,0.2,0.260869565
7,9,3,8,,,,,,,,0.4,0.6,0.2,0.347826087
3,6,0,3,,,,,,,,0.133333333,0.4,0,0.130434783
12,14,8,17,,,,,,,,0.733333333,0.933333333,0.533333333,0.739130435
9,13,3,12,,,,,,,,0.533333333,0.866666667,0.2,0.52173913
13,14,7,17,,,,,,,,0.8,0.933333333,0.466666667,0.739130435
16,15,9,22,,,,,,,,1,1,0.6,0.956521739
14,15,11,19,,,,,,,,0.866666667,1,0.733333333,0.826086957
14,14,11,18,,,,,,,,0.866666667,0.933333333,0.733333333,0.782608696
16,15,10,22,,,,,,,,1,1,0.666666667,0.956521739
3,5,1,2,,,,,,,,0.133333333,0.333333333,0.066666667,0.086956522
7,11,3,9,,,,,,,,0.4,0.733333333,0.2,0.391304348
13,14,7,17,,,,,,,,0.8,0.933333333,0.466666667,0.739130435
7,9,3,8,,,,,,,,0.4,0.6,0.2,0.347826087
4,7,3,5,,,,,,,,0.2,0.466666667,0.2,0.217391304
7,9,3,8,,,,,,,,0.4,0.6,0.2,0.347826087
16,15,8,22,,,,,,,,1,1,0.533333333,0.956521739
11,12,7,14,,,,,,,,0.666666667,0.8,0.466666667,0.608695652
9,11,4,12,,,,,,,,0.533333333,0.733333333,0.266666667,0.52173913
13,14,7,18,,,,,,,,0.8,0.933333333,0.466666667,0.782608696
6,8,2,7,,,,,,,,0.333333333,0.533333333,0.133333333,0.304347826
12,14,7,15,,,,,,,,0.733333333,0.933333333,0.466666667,0.652173913
7,12,5,8,,,,,,,,0.4,0.8,0.333333333,0.347826087
8,10,6,9,,,,,,,,0.466666667,0.666666667,0.4,0.391304348
1,0,0,0,,,,,,,,0,0,0,0
16,15,12,22,,,,,,,,1,1,0.8,0.956521739
3,6,2,2,,,,,,,,0.133333333,0.4,0.133333333,0.086956522
1,0,0,0,,,,,,,,0,0,0,0
10,12,6,12,,,,,,,,0.6,0.8,0.4,0.52173913
9,11,6,12,,,,,,,,0.533333333,0.733333333,0.4,0.52173913
8,11,7,11,,,,,,,,0.466666667,0.733333333,0.466666667,0.47826087
3,6,2,3,,,,,,,,0.133333333,0.4,0.133333333,0.130434783
9,11,6,11,,,,,,,,0.533333333,0.733333333,0.4,0.47826087
10,12,6,12,,,,,,,,0.6,0.8,0.4,0.52173913
13,14,8,17,,,,,,,,0.8,0.933333333,0.533333333,0.739130435
13,14,8,18,,,,,,,,0.8,0.933333333,0.533333333,0.782608696
6,8,4,7,,,,,,,,0.333333333,0.533333333,0.266666667,0.304347826
14,15,6,18,,,,,,,,0.866666667,1,0.4,0.782608696
3,6,2,2,,,,,,,,0.133333333,0.4,0.133333333,0.086956522
3,6,0,3,,,,,,,,0.133333333,0.4,0,0.130434783
8,11,3,11,,,,,,,,0.466666667,0.733333333,0.2,0.47826087
5,7,6,5,,,,,,,,0.266666667,0.466666667,0.4,0.217391304
2,3,0,1,,,,,,,,0.066666667,0.2,0,0.043478261
12,14,8,17,,,,,,,,0.733333333,0.933333333,0.533333333,0.739130435
6,10,2,7,,,,,,,,0.333333333,0.666666667,0.133333333,0.304347826
3,6,0,3,,,,,,,,0.133333333,0.4,0,0.130434783
14,15,8,20,,,,,,,,0.866666667,1,0.533333333,0.869565217
10,12,8,13,,,,,,,,0.6,0.8,0.533333333,0.565217391
10,12,7,13,,,,,,,,0.6,0.8,0.466666667,0.565217391
16,15,13,22,,,,,,,,1,1,0.866666667,0.956521739
3,7,1,2,,,,,,,,0.133333333,0.466666667,0.066666667,0.086956522
8,10,6,9,,,,,,,,0.466666667,0.666666667,0.4,0.391304348
13,14,10,18,,,,,,,,0.8,0.933333333,0.666666667,0.782608696
14,14,14,20,,,,,,,,0.866666667,0.933333333,0.933333333,0.869565217
2,3,2,1,,,,,,,,0.066666667,0.2,0.133333333,0.043478261
14,14,8,20,,,,,,,,0.866666667,0.933333333,0.533333333,0.869565217
9,11,3,11,,,,,,,,0.533333333,0.733333333,0.2,0.47826087
13,14,7,19,,,,,,,,0.8,0.933333333,0.466666667,0.826086957
6,8,2,6,,,,,,,,0.333333333,0.533333333,0.133333333,0.260869565
4,5,2,4,,,,,,,,0.2,0.333333333,0.133333333,0.173913043
16,15,15,21,,,,,,,,1,1,1,0.913043478
16,15,9,22,,,,,,,,1,1,0.6,0.956521739
5,7,2,5,,,,,,,,0.266666667,0.466666667,0.133333333,0.217391304
1,0,0,0,,,,,,,,0,0,0,0
2,4,0,1,,,,,,,,0.066666667,0.266666667,0,0.043478261
3,6,1,3,,,,,,,,0.133333333,0.4,0.066666667,0.130434783
4,5,3,4,,,,,,,,0.2,0.333333333,0.2,0.173913043
10,12,5,12,,,,,,,,0.6,0.8,0.333333333,0.52173913
8,10,6,9,,,,,,,,0.466666667,0.666666667,0.4,0.391304348
12,14,8,17,,,,,,,,0.733333333,0.933333333,0.533333333,0.739130435
12,14,9,17,,,,,,,,0.733333333,0.933333333,0.6,0.739130435
3,6,1,3,,,,,,,,0.133333333,0.4,0.066666667,0.130434783
1,0,0,0,,,,,,,,0,0,0,0
6,8,4,7,,,,,,,,0.333333333,0.533333333,0.266666667,0.304347826
14,15,12,19,,,,,,,,0.866666667,1,0.8,0.826086957
4,5,2,4,,,,,,,,0.2,0.333333333,0.133333333,0.173913043
4,9,3,4,,,,,,,,0.2,0.6,0.2,0.173913043
2,4,2,1,,,,,,,,0.066666667,0.266666667,0.133333333,0.043478261
10,12,4,12,,,,,,,,0.6,0.8,0.266666667,0.52173913
8,10,5,9,,,,,,,,0.466666667,0.666666667,0.333333333,0.391304348
14,14,8,20,,,,,,,,0.866666667,0.933333333,0.533333333,0.869565217
9,11,3,11,,,,,,,,0.533333333,0.733333333,0.2,0.47826087
6,10,5,7,,,,,,,,0.333333333,0.666666667,0.333333333,0.304347826
1,0,0,0,,,,,,,,0,0,0,0
16,15,10,22,,,,,,,,1,1,0.666666667,0.956521739
16,15,9,23,,,,,,,,1,1,0.6,1
8,10,4,9,,,,,,,,0.466666667,0.666666667,0.266666667,0.391304348
15,15,10,21,,,,,,,,0.933333333,1,0.666666667,0.913043478
10,13,6,14,,,,,,,,0.6,0.866666667,0.4,0.608695652
13,14,10,17,,,,,,,,0.8,0.933333333,0.666666667,0.739130435
7,12,5,8,,,,,,,,0.4,0.8,0.333333333,0.347826087
16,15,10,22,,,,,,,,1,1,0.666666667,0.956521739
,,,,,,,,,,AVG,0.506666667,0.680666667,0.348,0.474347826
