Nodes in Path,Nodes Explored,Execution Time,Distance,,,,,,,,,,,
14,15,9,19,,#REF!,16,15,12,23,,0.866666667,1,0.75,0.826086957
15,15,12,20,,#REF!,1,0,0,0,,0.933333333,1,1,0.869565217
15,15,10,21,,,,,,,,0.933333333,1,0.833333333,0.913043478
4,9,3,4,,,,,,,,0.2,0.6,0.25,0.173913043
15,15,6,20,,,,,,,,0.933333333,1,0.5,0.869565217
9,11,6,11,,,,,,,,0.533333333,0.733333333,0.5,0.47826087
13,14,9,18,,,,,,,,0.8,0.933333333,0.75,0.782608696
1,0,0,0,,,,,,,,0,0,0,0
12,14,7,15,,,,,,,,0.733333333,0.933333333,0.583333333,0.652173913
3,4,1,2,,,,,,,,0.133333333,0.266666667,0.083333333,0.086956522
10,12,4,12,,,,,,,,0.6,0.8,0.333333333,0.52173913
4,9,3,4,,,,,,,,0.2,0.6,0.25,0.173913043
2,4,1,1,,,,,,,,0.066666667,0.266666667,0.083333333,0.043478261
5,9,1,6,,,,,,,,0.266666667,0.6,0.083333333,0.260869565
5,7,4,6,,,,,,,,0.266666667,0.466666667,0.333333333,0.260869565
14,14,10,18,,,,,,,,0.866666667,0.933333333,0.833333333,0.782608696
2,3,0,1,,,,,,,,0.066666667,0.2,0,0.043478261
6,10,3,7,,,,,,,,0.333333333,0.666666667,0.25,0.304347826
8,13,6,10,,,,,,,,0.466666667,0.866666667,0.5,0.434782609
13,15,10,18,,,,,,,,0.8,1,0.833333333,0.782608696
3,4,1,2,,,,,,,,0.133333333,0.266666667,0.083333333,0.086956522
16,15,9,22,,,,,,,,1,1,0.75,0.956521739
14,14,10,20,,,,,,,,0.866666667,0.933333333,0.833333333,0.869565217
7,9,5,8,,,,,,,,0.4,0.6,0.416666667,0.347826087
14,14,8,18,,,,,,,,0.866666667,0.933333333,0.666666667,0.782608696
6,8,4,7,,,,,,,,0.333333333,0.533333333,0.333333333,0.304347826
15,15,10,20,,,,,,,,0.933333333,1,0.833333333,0.869565217
12,14,8,15,,,,,,,,0.733333333,0.933333333,0.666666667,0.652173913
15,15,8,21,,,,,,,,0.933333333,1,0.666666667,0.913043478
5,7,1,5,,,,,,,,0.266666667,0.466666667,0.083333333,0.217391304
13,14,9,17,,,,,,,,0.8,0.933333333,0.75,0.739130435
4,5,2,4,,,,,,,,0.2,0.333333333,0.166666667,0.173913043
4,6,2,4,,,,,,,,0.2,0.4,0.166666667,0.173913043
14,14,10,18,,,,,,,,0.866666667,0.933333333,0.833333333,0.782608696
2,3,1,1,,,,,,,,0.066666667,0.2,0.083333333,0.043478261
15,15,10,20,,,,,,,,0.933333333,1,0.833333333,0.869565217
3,4,1,3,,,,,,,,0.133333333,0.266666667,0.083333333,0.130434783
5,7,3,5,,,,,,,,0.266666667,0.466666667,0.25,0.217391304
16,15,9,22,,,,,,,,1,1,0.75,0.956521739
1,0,0,0,,,,,,,,0,0,0,0
8,11,3,11,,,,,,,,0.466666667,0.733333333,0.25,0.47826087
9,11,8,12,,,,,,,,0.533333333,0.733333333,0.666666667,0.52173913
2,3,1,1,,,,,,,,0.066666667,0.2,0.083333333,0.043478261
15,15,9,21,,,,,,,,0.933333333,1,0.75,0.913043478
3,4,1,3,,,,,,,,0.133333333,0.266666667,0.083333333,0.130434783
8,10,5,9,,,,,,,,0.466666667,0.666666667,0.416666667,0.391304348
5,7,2,6,,,,,,,,0.266666667,0.466666667,0.166666667,0.260869565
11,14,7,15,,,,,,,,0.666666667,0.933333333,0.583333333,0.652173913
10,12,6,12,,,,,,,,0.6,0.8,0.5,0.52173913
9,11,4,11,,,,,,,,0.533333333,0.733333333,0.333333333,0.47826087
2,4,0,1,,,,,,,,0.066666667,0.266666667,0,0.043478261
10,13,6,13,,,,,,,,0.6,0.866666667,0.5,0.565217391
2,2,0,1,,,,,,,,0.066666667,0.133333333,0,0.043478261
15,15,10,20,,,,,,,,0.933333333,1,0.833333333,0.869565217
11,13,7,13,,,,,,,,0.666666667,0.866666667,0.583333333,0.565217391
8,11,4,11,,,,,,,,0.466666667,0.733333333,0.333333333,0.47826087
8,10,4,10,,,,,,,,0.466666667,0.666666667,0.333333333,0.434782609
1,0,0,0,,,,,,,,0,0,0,0
5,9,2,6,,,,,,,,0.266666667,0.6,0.166666667,0.260869565
7,12,5,8,,,,,,,,0.4,0.8,0.416666667,0.347826087
15,15,8,21,,,,,,,,0.933333333,1,0.666666667,0.913043478
16,15,10,23,,,,,,,,1,1,0.833333333,1
10,13,4,13,,,,,,,,0.6,0.866666667,0.333333333,0.565217391
15,15,9,21,,,,,,,,0.933333333,1,0.75,0.913043478
13,14,8,18,,,,,,,,0.8,0.933333333,0.666666667,0.782608696
3,4,5,3,,,,,,,,0.133333333,0.266666667,0.416666667,0.130434783
11,13,10,15,,,,,,,,0.666666667,0.866666667,0.833333333,0.652173913
3,5,2,2,,,,,,,,0.133333333,0.333333333,0.166666667,0.086956522
11,14,9,15,,,,,,,,0.666666667,0.933333333,0.75,0.652173913
15,15,7,20,,,,,,,,0.933333333,1,0.583333333,0.869565217
9,13,3,12,,,,,,,,0.533333333,0.866666667,0.25,0.52173913
13,14,8,17,,,,,,,,0.8,0.933333333,0.666666667,0.739130435
6,8,2,7,,,,,,,,0.333333333,0.533333333,0.166666667,0.304347826
9,11,6,12,,,,,,,,0.533333333,0.733333333,0.5,0.52173913
10,12,6,13,,,,,,,,0.6,0.8,0.5,0.565217391
5,7,2,5,,,,,,,,0.266666667,0.466666667,0.166666667,0.217391304
16,15,10,22,,,,,,,,1,1,0.833333333,0.956521739
4,5,2,4,,,,,,,,0.2,0.333333333,0.166666667,0.173913043
3,4,3,3,,,,,,,,0.133333333,0.266666667,0.25,0.130434783
5,7,3,5,,,,,,,,0.266666667,0.466666667,0.25,0.217391304
16,15,12,22,,,,,,,,1,1,1,0.956521739
2,2,1,1,,,,,,,,0.066666667,0.133333333,0.083333333,0.043478261
9,11,8,12,,,,,,,,0.533333333,0.733333333,0.666666667,0.52173913
3,6,2,3,,,,,,,,0.133333333,0.4,0.166666667,0.130434783
9,11,4,12,,,,,,,,0.533333333,0.733333333,0.333333333,0.52173913
8,10,4,9,,,,,,,,0.466666667,0.666666667,0.333333333,0.391304348
15,15,12,20,,,,,,,,0.933333333,1,1,0.869565217
15,15,9,21,,,,,,,,0.933333333,1,0.75,0.913043478
7,9,3,8,,,,,,,,0.4,0.6,0.25,0.347826087
5,7,3,6,,,,,,,,0.266666667,0.466666667,0.25,0.260869565
9,11,4,12,,,,,,,,0.533333333,0.733333333,0.333333333,0.52173913
8,10,6,9,,,,,,,,0.466666667,0.666666667,0.5,0.391304348
1,0,0,0,,,,,,,,0,0,0,0
2,3,1,1,,,,,,,,0.066666667,0.2,0.083333333,0.043478261
6,10,3,7,,,,,,,,0.333333333,0.666666667,0.25,0.304347826
9,11,6,12,,,,,,,,0.533333333,0.733333333,0.5,0.52173913
9,13,5,12,,,,,,,,0.533333333,0.866666667,0.416666667,0.52173913
7,10,4,9,,,,,,,,0.4,0.666666667,0.333333333,0.391304348
2,3,0,1,,,,,,,,0.066666667,0.2,0,0.043478261
5,9,2,6,,,,,,,,0.266666667,0.6,0.166666667,0.260869565
,,,,,,,,,,AVG,0.494666667,0.662,0.421666667,0.462173913
