Nodes in Path,Nodes Explored,Execution Time,Distance,,,,,,,,,,,
1,0,2,0,,,18,24,12,32,,0,0,0.166666667,0
17,22,8,30,,,1,0,0,0,,0.941176471,0.916666667,0.666666667,0.9375
15,23,8,26,,,,,,,,0.823529412,0.958333333,0.666666667,0.8125
3,4,2,4,,,,,,,,0.117647059,0.166666667,0.166666667,0.125
12,20,5,20,,,,,,,,0.647058824,0.833333333,0.416666667,0.625
1,0,0,0,,,,,,,,0,0,0,0
15,23,8,25,,,,,,,,0.823529412,0.958333333,0.666666667,0.78125
2,3,0,2,,,,,,,,0.058823529,0.125,0,0.0625
16,24,9,27,,,,,,,,0.882352941,1,0.75,0.84375
5,7,3,7,,,,,,,,0.235294118,0.291666667,0.25,0.21875
8,17,3,13,,,,,,,,0.411764706,0.708333333,0.25,0.40625
7,13,2,11,,,,,,,,0.352941176,0.541666667,0.166666667,0.34375
4,9,3,6,,,,,,,,0.176470588,0.375,0.25,0.1875
16,24,6,27,,,,,,,,0.882352941,1,0.5,0.84375
8,13,6,13,,,,,,,,0.411764706,0.541666667,0.5,0.40625
4,6,1,5,,,,,,,,0.176470588,0.25,0.083333333,0.15625
8,13,5,13,,,,,,,,0.411764706,0.541666667,0.416666667,0.40625
12,20,12,18,,,,,,,,0.647058824,0.833333333,1,0.5625
3,4,2,3,,,,,,,,0.117647059,0.166666667,0.166666667,0.09375
9,17,7,14,,,,,,,,0.470588235,0.708333333,0.583333333,0.4375
9,14,9,14,,,,,,,,0.470588235,0.583333333,0.75,0.4375
5,7,3,7,,,,,,,,0.235294118,0.291666667,0.25,0.21875
14,23,9,23,,,,,,,,0.764705882,0.958333333,0.75,0.71875
9,14,7,15,,,,,,,,0.470588235,0.583333333,0.583333333,0.46875
1,0,0,0,,,,,,,,0,0,0,0
14,22,7,23,,,,,,,,0.764705882,0.916666667,0.583333333,0.71875
14,22,9,23,,,,,,,,0.764705882,0.916666667,0.75,0.71875
5,8,2,7,,,,,,,,0.235294118,0.333333333,0.166666667,0.21875
1,0,0,0,,,,,,,,0,0,0,0
11,18,10,17,,,,,,,,0.588235294,0.75,0.833333333,0.53125
6,13,4,9,,,,,,,,0.294117647,0.541666667,0.333333333,0.28125
7,12,3,11,,,,,,,,0.352941176,0.5,0.25,0.34375
14,22,8,24,,,,,,,,0.764705882,0.916666667,0.666666667,0.75
3,4,0,4,,,,,,,,0.117647059,0.166666667,0,0.125
4,6,2,6,,,,,,,,0.176470588,0.25,0.166666667,0.1875
13,21,9,21,,,,,,,,0.705882353,0.875,0.75,0.65625
16,24,8,27,,,,,,,,0.882352941,1,0.666666667,0.84375
3,6,0,4,,,,,,,,0.117647059,0.25,0,0.125
3,5,2,4,,,,,,,,0.117647059,0.208333333,0.166666667,0.125
10,16,5,17,,,,,,,,0.529411765,0.666666667,0.416666667,0.53125
14,22,9,22,,,,,,,,0.764705882,0.916666667,0.75,0.6875
6,10,4,9,,,,,,,,0.294117647,0.416666667,0.333333333,0.28125
2,3,0,2,,,,,,,,0.058823529,0.125,0,0.0625
15,23,10,26,,,,,,,,0.823529412,0.958333333,0.833333333,0.8125
5,11,2,7,,,,,,,,0.235294118,0.458333333,0.166666667,0.21875
10,19,6,16,,,,,,,,0.529411765,0.791666667,0.5,0.5
2,3,0,2,,,,,,,,0.058823529,0.125,0,0.0625
3,6,1,4,,,,,,,,0.117647059,0.25,0.083333333,0.125
9,14,6,15,,,,,,,,0.470588235,0.583333333,0.5,0.46875
3,6,1,4,,,,,,,,0.117647059,0.25,0.083333333,0.125
9,18,6,14,,,,,,,,0.470588235,0.75,0.5,0.4375
4,6,3,5,,,,,,,,0.176470588,0.25,0.25,0.15625
9,18,6,14,,,,,,,,0.470588235,0.75,0.5,0.4375
1,0,0,0,,,,,,,,0,0,0,0
14,22,9,24,,,,,,,,0.764705882,0.916666667,0.75,0.75
15,23,10,25,,,,,,,,0.823529412,0.958333333,0.833333333,0.78125
14,23,9,23,,,,,,,,0.764705882,0.958333333,0.75,0.71875
3,6,1,4,,,,,,,,0.117647059,0.25,0.083333333,0.125
7,11,3,11,,,,,,,,0.352941176,0.458333333,0.25,0.34375
4,6,4,5,,,,,,,,0.176470588,0.25,0.333333333,0.15625
6,9,3,9,,,,,,,,0.294117647,0.375,0.25,0.28125
7,12,5,11,,,,,,,,0.352941176,0.5,0.416666667,0.34375
2,3,0,2,,,,,,,,0.058823529,0.125,0,0.0625
7,11,3,11,,,,,,,,0.352941176,0.458333333,0.25,0.34375
14,22,9,23,,,,,,,,0.764705882,0.916666667,0.75,0.71875
11,19,7,17,,,,,,,,0.588235294,0.791666667,0.583333333,0.53125
4,9,1,6,,,,,,,,0.176470588,0.375,0.083333333,0.1875
12,20,7,20,,,,,,,,0.647058824,0.833333333,0.583333333,0.625
16,21,9,28,,,,,,,,0.882352941,0.875,0.75,0.875
10,16,6,16,,,,,,,,0.529411765,0.666666667,0.5,0.5
1,0,0,0,,,,,,,,0,0,0,0
14,22,7,23,,,,,,,,0.764705882,0.916666667,0.583333333,0.71875
2,2,2,2,,,,,,,,0.058823529,0.083333333,0.166666667,0.0625
18,23,8,32,,,,,,,,1,0.958333333,0.666666667,1
6,11,3,9,,,,,,,,0.294117647,0.458333333,0.25,0.28125
