Nodes in Path,Nodes Explored,Execution Time,Distance,,,,,,,,,,,
14,22,12,20,,,16,24,18,24,,0.866666667,0.916666667,0.666666667,0.833333333
4,9,3,4,,,1,0,0,0,,0.2,0.375,0.166666667,0.166666667
14,22,18,20,,,,,,,,0.866666667,0.916666667,1,0.833333333
1,0,1,0,,,,,,,,0,0,0.055555556,0
6,10,4,7,,,,,,,,0.333333333,0.416666667,0.222222222,0.291666667
2,2,1,2,,,,,,,,0.066666667,0.083333333,0.055555556,0.083333333
8,12,3,10,,,,,,,,0.466666667,0.5,0.166666667,0.416666667
14,23,9,20,,,,,,,,0.866666667,0.958333333,0.5,0.833333333
2,3,1,2,,,,,,,,0.066666667,0.125,0.055555556,0.083333333
16,24,12,24,,,,,,,,1,1,0.666666667,1
14,22,7,20,,,,,,,,0.866666667,0.916666667,0.388888889,0.833333333
8,14,5,9,,,,,,,,0.466666667,0.583333333,0.277777778,0.375
4,6,1,5,,,,,,,,0.2,0.25,0.055555556,0.208333333
12,19,8,17,,,,,,,,0.733333333,0.791666667,0.444444444,0.708333333
12,20,9,16,,,,,,,,0.733333333,0.833333333,0.5,0.666666667
8,14,6,9,,,,,,,,0.466666667,0.583333333,0.333333333,0.375
14,22,9,20,,,,,,,,0.866666667,0.916666667,0.5,0.833333333
6,9,3,8,,,,,,,,0.333333333,0.375,0.166666667,0.333333333
13,21,9,18,,,,,,,,0.8,0.875,0.5,0.75
11,18,8,16,,,,,,,,0.666666667,0.75,0.444444444,0.666666667
15,23,10,21,,,,,,,,0.933333333,0.958333333,0.555555556,0.875
4,9,1,4,,,,,,,,0.2,0.375,0.055555556,0.166666667
4,6,4,4,,,,,,,,0.2,0.25,0.222222222,0.166666667
10,16,5,12,,,,,,,,0.6,0.666666667,0.277777778,0.5
13,20,8,19,,,,,,,,0.8,0.833333333,0.444444444,0.791666667
7,11,5,9,,,,,,,,0.4,0.458333333,0.277777778,0.375
5,9,2,6,,,,,,,,0.266666667,0.375,0.111111111,0.25
9,17,6,12,,,,,,,,0.533333333,0.708333333,0.333333333,0.5
11,19,6,15,,,,,,,,0.666666667,0.791666667,0.333333333,0.625
1,0,0,0,,,,,,,,0,0,0,0
14,22,11,20,,,,,,,,0.866666667,0.916666667,,0.833333333
13,21,7,19,,,,,,,,0.8,0.875,0.611111111,0.791666667
8,13,6,10,,,,,,,,0.466666667,0.541666667,0.388888889,0.416666667
16,24,11,24,,,,,,,,1,1,0.333333333,1
2,3,0,2,,,,,,,,0.066666667,0.125,0.611111111,0.083333333
7,14,7,8,,,,,,,,0.4,0.583333333,0,0.333333333
10,16,7,12,,,,,,,,0.6,0.666666667,0.388888889,0.5
6,12,2,6,,,,,,,,0.333333333,0.5,0.388888889,0.25
10,16,7,14,,,,,,,,0.6,0.666666667,0.111111111,0.583333333
10,16,5,13,,,,,,,,0.6,0.666666667,0.388888889,0.541666667
3,5,1,3,,,,,,,,0.133333333,0.208333333,0.277777778,0.125
1,0,0,0,,,,,,,,0,0,0.055555556,0
6,9,2,8,,,,,,,,0.333333333,0.375,0,0.333333333
1,0,0,0,,,,,,,,0,0,0.111111111,0
1,0,0,0,,,,,,,,0,0,0,0
14,22,9,20,,,,,,,,0.866666667,0.916666667,0,0.833333333
7,12,5,8,,,,,,,,0.4,0.5,0.5,0.333333333
4,9,2,4,,,,,,,,0.2,0.375,0.277777778,0.166666667
1,0,0,0,,,,,,,,0,0,0.111111111,0
14,22,8,20,,,,,,,,0.866666667,0.916666667,0,0.833333333
6,10,2,8,,,,,,,,0.333333333,0.416666667,0.444444444,0.333333333
16,24,8,21,,,,,,,,1,1,0.111111111,0.875
15,23,9,22,,,,,,,,0.933333333,0.958333333,0.444444444,0.916666667
15,23,10,21,,,,,,,,0.933333333,0.958333333,0.5,0.875
14,23,8,20,,,,,,,,0.866666667,0.958333333,0.555555556,0.833333333
8,15,6,10,,,,,,,,0.466666667,0.625,0.444444444,0.416666667
10,17,4,13,,,,,,,,0.6,0.708333333,0.333333333,0.541666667
8,13,7,11,,,,,,,,0.466666667,0.541666667,0.222222222,0.458333333
7,12,4,8,,,,,,,,0.4,0.5,0.388888889,0.333333333
6,10,4,7,,,,,,,,0.333333333,0.416666667,0.222222222,0.291666667
13,21,9,18,,,,,,,,0.8,0.875,0.222222222,0.75
3,6,0,3,,,,,,,,0.133333333,0.25,0.5,0.125
8,12,5,10,,,,,,,,0.466666667,0.5,0,0.416666667
12,20,5,15,,,,,,,,0.733333333,0.833333333,0.277777778,0.625
16,24,9,24,,,,,,,,1,1,0.277777778,1
15,23,11,22,,,,,,,,0.933333333,0.958333333,0.5,0.916666667
14,22,11,20,,,,,,,,0.866666667,0.916666667,0.611111111,0.833333333
4,6,2,5,,,,,,,,0.2,0.25,0.611111111,0.208333333
11,17,7,13,,,,,,,,0.666666667,0.708333333,0.111111111,0.541666667
12,19,6,14,,,,,,,,0.733333333,0.791666667,0.388888889,0.583333333
2,2,0,2,,,,,,,,0.066666667,0.083333333,0.333333333,0.083333333
4,9,2,4,,,,,,,,0.2,0.375,0,0.166666667
7,11,2,9,,,,,,,,0.4,0.458333333,0.111111111,0.375
13,21,10,18,,,,,,,,0.8,0.875,0.111111111,0.75
11,19,7,16,,,,,,,,0.666666667,0.791666667,0.555555556,0.666666667
3,4,2,3,,,,,,,,0.133333333,0.166666667,0.388888889,0.125
9,14,7,12,,,,,,,,0.533333333,0.583333333,0.111111111,0.5
14,22,11,20,,,,,,,,0.866666667,0.916666667,0.388888889,0.833333333
14,22,11,20,,,,,,,,0.866666667,0.916666667,0.611111111,0.833333333
13,20,13,19,,,,,,,,0.8,0.833333333,0.611111111,0.791666667
3,5,2,3,,,,,,,,0.133333333,0.208333333,0.722222222,0.125
10,16,6,14,,,,,,,,0.6,0.666666667,0.111111111,0.583333333
2,3,2,2,,,,,,,,0.066666667,0.125,0.333333333,0.083333333
2,4,1,2,,,,,,,,0.066666667,0.166666667,0.111111111,0.083333333
14,23,10,20,,,,,,,,0.866666667,0.958333333,0.055555556,0.833333333
3,4,0,3,,,,,,,,0.133333333,0.166666667,0.555555556,0.125
8,14,5,11,,,,,,,,0.466666667,0.583333333,0,0.458333333
3,4,0,3,,,,,,,,0.133333333,0.166666667,0.277777778,0.125
15,23,10,21,,,,,,,,0.933333333,0.958333333,0,0.875
10,16,6,14,,,,,,,,0.6,0.666666667,0.555555556,0.583333333
2,2,1,1,,,,,,,,0.066666667,0.083333333,0.333333333,0.041666667
9,16,7,11,,,,,,,,0.533333333,0.666666667,0.055555556,0.458333333
11,17,13,15,,,,,,,,0.666666667,0.708333333,0.388888889,0.625
1,0,0,0,,,,,,,,0,0,0.722222222,0
3,6,1,2,,,,,,,,0.133333333,0.25,0,0.083333333
13,20,13,16,,,,,,,,0.8,0.833333333,0.055555556,0.666666667
4,9,5,4,,,,,,,,0.2,0.375,0.722222222,0.166666667
3,4,2,3,,,,,,,,0.133333333,0.166666667,0.277777778,0.125
4,9,3,4,,,,,,,,0.2,0.375,0.111111111,0.166666667
4,6,0,4,,,,,,,,0.2,0.25,0.166666667,0.166666667
,,,,,,,,,,AVG,0.491333333,0.559583333,0.305836139,0.45875
