Nodes in Path,Nodes Explored,Execution Time,Distance,,,,,,,,,,,
11,18,6,18,,,19,24,12,34,,0.555555556,0.75,0.5,0.529411765
3,4,1,4,,,1,0,0,0,,0.111111111,0.166666667,0.083333333,0.117647059
9,17,5,14,,,,,,,,0.444444444,0.708333333,0.416666667,0.411764706
11,19,6,17,,,,,,,,0.555555556,0.791666667,0.5,0.5
9,14,5,13,,,,,,,,0.444444444,0.583333333,0.416666667,0.382352941
8,17,5,13,,,,,,,,0.388888889,0.708333333,0.416666667,0.382352941
4,9,3,6,,,,,,,,0.166666667,0.375,0.25,0.176470588
14,22,11,23,,,,,,,,0.722222222,0.916666667,0.916666667,0.676470588
15,23,9,26,,,,,,,,0.777777778,0.958333333,0.75,0.764705882
2,2,0,2,,,,,,,,0.055555556,0.083333333,0,0.058823529
2,2,0,2,,,,,,,,0.055555556,0.083333333,0,0.058823529
8,14,5,13,,,,,,,,0.388888889,0.583333333,0.416666667,0.382352941
3,7,0,4,,,,,,,,0.111111111,0.291666667,0,0.117647059
2,4,1,2,,,,,,,,0.055555556,0.166666667,0.083333333,0.058823529
14,22,8,23,,,,,,,,0.722222222,0.916666667,0.666666667,0.676470588
9,14,5,13,,,,,,,,0.444444444,0.583333333,0.416666667,0.382352941
8,13,3,13,,,,,,,,0.388888889,0.541666667,0.25,0.382352941
2,3,0,2,,,,,,,,0.055555556,0.125,0,0.058823529
11,18,8,18,,,,,,,,0.555555556,0.75,0.666666667,0.529411765
6,13,3,9,,,,,,,,0.277777778,0.541666667,0.25,0.264705882
6,10,4,9,,,,,,,,0.277777778,0.416666667,0.333333333,0.264705882
10,18,4,16,,,,,,,,0.5,0.75,0.333333333,0.470588235
4,9,4,6,,,,,,,,0.166666667,0.375,0.333333333,0.176470588
9,18,3,14,,,,,,,,0.444444444,0.75,0.25,0.411764706
11,20,7,17,,,,,,,,0.555555556,0.833333333,0.583333333,0.5
9,14,3,13,,,,,,,,0.444444444,0.583333333,0.25,0.382352941
5,8,4,7,,,,,,,,0.222222222,0.333333333,0.333333333,0.205882353
10,18,4,16,,,,,,,,0.5,0.75,0.333333333,0.470588235
4,6,5,6,,,,,,,,0.166666667,0.25,0.416666667,0.176470588
3,5,1,4,,,,,,,,0.111111111,0.208333333,0.083333333,0.117647059
15,23,10,25,,,,,,,,0.777777778,0.958333333,0.833333333,0.735294118
6,13,2,9,,,,,,,,0.277777778,0.541666667,0.166666667,0.264705882
11,18,7,17,,,,,,,,0.555555556,0.75,0.583333333,0.5
19,24,10,34,,,,,,,,1,1,0.833333333,1
6,13,3,9,,,,,,,,0.277777778,0.541666667,0.25,0.264705882
18,23,6,32,,,,,,,,0.944444444,0.958333333,0.5,0.941176471
7,13,5,11,,,,,,,,0.333333333,0.541666667,0.416666667,0.323529412
8,13,6,13,,,,,,,,0.388888889,0.541666667,0.5,0.382352941
3,4,1,3,,,,,,,,0.111111111,0.166666667,0.083333333,0.088235294
10,16,5,16,,,,,,,,0.5,0.666666667,0.416666667,0.470588235
2,4,2,2,,,,,,,,0.055555556,0.166666667,0.166666667,0.058823529
4,8,2,5,,,,,,,,0.166666667,0.333333333,0.166666667,0.147058824
9,14,8,15,,,,,,,,0.444444444,0.583333333,0.666666667,0.441176471
7,15,5,11,,,,,,,,0.333333333,0.625,0.416666667,0.323529412
7,15,6,11,,,,,,,,0.333333333,0.625,0.5,0.323529412
11,18,7,17,,,,,,,,0.555555556,0.75,0.583333333,0.5
3,5,1,4,,,,,,,,0.111111111,0.208333333,0.083333333,0.117647059
1,0,0,0,,,,,,,,0,0,0,0
1,0,0,0,,,,,,,,0,0,0,0
7,11,3,10,,,,,,,,0.333333333,0.458333333,0.25,0.294117647
14,22,8,23,,,,,,,,0.722222222,0.916666667,0.666666667,0.676470588
11,20,6,17,,,,,,,,0.555555556,0.833333333,0.5,0.5
16,24,11,27,,,,,,,,0.833333333,1,0.916666667,0.794117647
12,20,7,20,,,,,,,,0.611111111,0.833333333,0.583333333,0.588235294
12,20,5,20,,,,,,,,0.611111111,0.833333333,0.416666667,0.588235294
9,14,6,13,,,,,,,,0.444444444,0.583333333,0.5,0.382352941
4,9,1,6,,,,,,,,0.166666667,0.375,0.083333333,0.176470588
7,13,4,11,,,,,,,,0.333333333,0.541666667,0.333333333,0.323529412
11,20,5,18,,,,,,,,0.555555556,0.833333333,0.416666667,0.529411765
11,18,6,18,,,,,,,,0.555555556,0.75,0.5,0.529411765
11,20,7,18,,,,,,,,0.555555556,0.833333333,0.583333333,0.529411765
9,14,4,15,,,,,,,,0.444444444,0.583333333,0.333333333,0.441176471
4,7,1,5,,,,,,,,0.166666667,0.291666667,0.083333333,0.147058824
2,3,2,2,,,,,,,,0.055555556,0.125,0.166666667,0.058823529
4,9,2,6,,,,,,,,0.166666667,0.375,0.166666667,0.176470588
12,21,7,20,,,,,,,,0.611111111,0.875,0.583333333,0.588235294
1,0,0,0,,,,,,,,0,0,0,0
5,11,2,7,,,,,,,,0.222222222,0.458333333,0.166666667,0.205882353
15,23,12,24,,,,,,,,0.777777778,0.958333333,1,0.705882353
6,13,5,9,,,,,,,,0.277777778,0.541666667,0.416666667,0.264705882
15,23,10,24,,,,,,,,0.777777778,0.958333333,0.833333333,0.705882353
10,19,6,16,,,,,,,,0.5,0.791666667,0.5,0.470588235
6,10,4,9,,,,,,,,0.277777778,0.416666667,0.333333333,0.264705882
11,20,7,17,,,,,,,,0.555555556,0.833333333,0.583333333,0.5
9,14,4,14,,,,,,,,0.444444444,0.583333333,0.333333333,0.411764706
8,17,6,13,,,,,,,,0.388888889,0.708333333,0.5,0.382352941
16,24,8,27,,,,,,,,0.833333333,1,0.666666667,0.794117647
11,20,5,18,,,,,,,,0.555555556,0.833333333,0.416666667,0.529411765
12,20,7,18,,,,,,,,0.611111111,0.833333333,0.583333333,0.529411765
1,0,0,0,,,,,,,,0,0,0,0
11,18,9,19,,,,,,,,0.555555556,0.75,0.75,0.558823529
2,3,1,2,,,,,,,,0.055555556,0.125,0.083333333,0.058823529
2,2,0,2,,,,,,,,0.055555556,0.083333333,0,0.058823529
10,18,7,16,,,,,,,,0.5,0.75,0.583333333,0.470588235
8,16,3,12,,,,,,,,0.388888889,0.666666667,0.25,0.352941176
7,11,5,10,,,,,,,,0.333333333,0.458333333,0.416666667,0.294117647
12,20,7,21,,,,,,,,0.611111111,0.833333333,0.583333333,0.617647059
4,6,1,6,,,,,,,,0.166666667,0.25,0.083333333,0.176470588
14,22,8,22,,,,,,,,0.722222222,0.916666667,0.666666667,0.647058824
3,4,1,4,,,,,,,,0.111111111,0.166666667,0.083333333,0.117647059
9,14,4,13,,,,,,,,0.444444444,0.583333333,0.333333333,0.382352941
15,23,8,25,,,,,,,,0.777777778,0.958333333,0.666666667,0.735294118
8,13,6,13,,,,,,,,0.388888889,0.541666667,0.5,0.382352941
10,16,5,17,,,,,,,,0.5,0.666666667,0.416666667,0.5
5,8,4,7,,,,,,,,0.222222222,0.333333333,0.333333333,0.205882353
17,22,6,30,,,,,,,,0.888888889,0.916666667,0.5,0.882352941
13,21,8,20,,,,,,,,0.666666667,0.875,0.666666667,0.588235294
11,18,6,18,,,,,,,,0.555555556,0.75,0.5,0.529411765
3,4,0,4,,,,,,,,0.111111111,0.166666667,0,0.117647059
1,0,0,0,,,,,,,,0,0,0,0
,,,,,,,,,,AVG,0.398333333,0.565833333,0.3825,0.377352941
