Nodes in Path,Nodes Explored,Execution Time,Distance
14,13,0,7
5,4,0,1
13,12,0,6
12,11,0,6
15,14,0,6
13,12,0,4
8,7,0,3
10,9,0,6
10,9,0,6
11,10,0,3
12,11,0,6
4,3,0,1
4,3,0,2
5,4,0,2
14,13,0,5
16,15,0,7
15,14,0,8
16,15,0,7
9,8,0,5
4,3,0,2
9,8,0,5
3,2,0,1
12,11,0,5
4,3,0,1
3,2,0,2
7,6,0,3
5,4,0,2
15,14,0,7
16,15,0,9
5,4,0,0
14,13,0,4
8,7,0,4
6,5,0,3
11,10,0,4
4,3,0,1
10,9,0,5
5,4,0,1
15,14,0,6
16,15,0,6
5,4,0,2
5,4,0,1
5,4,0,1
13,12,0,4
10,9,0,6
8,7,0,3
4,3,0,0
12,11,0,6
5,4,0,2
10,9,0,3
11,10,0,5
4,3,0,0
8,7,0,4
15,14,0,8
11,10,0,5
7,6,0,3
4,3,0,1
11,10,0,4
7,6,0,2
16,15,0,8
5,4,0,2
8,7,0,4
10,9,0,5
3,2,0,2
11,10,0,5
15,14,0,5
10,9,0,6
16,15,0,6
5,4,0,1
4,3,0,0
5,4,0,2
5,4,0,1
7,6,0,3
4,3,0,1
4,3,0,1
15,14,0,5
15,14,0,7
4,3,0,0
6,5,0,3
14,13,0,5
8,7,0,4
3,2,0,1
10,9,0,4
10,9,0,3
10,9,0,3
14,13,0,6
12,11,0,5
4,3,0,0
16,15,0,7
8,7,0,2
7,6,0,3
3,2,0,1
6,5,0,4
8,7,0,3
7,6,0,3
3,2,0,1
3,2,0,1
4,3,0,2
7,6,0,3
7,6,0,3
13,12,0,7
