Nodes in Path,Nodes Explored,Execution Time,Distance
12,12,0,8
3,3,0,3
2,2,0,2
9,9,0,7
12,12,0,8
11,11,0,7
5,5,0,4
7,7,0,5
3,3,0,4
2,2,0,3
8,8,0,6
5,5,0,4
12,12,0,8
1,1,0,1
1,1,0,2
3,3,0,2
4,4,0,4
4,4,0,4
10,10,0,5
7,7,0,5
11,11,0,7
2,2,0,3
7,7,0,5
5,5,0,5
2,2,0,3
1,1,0,2
3,3,0,4
9,9,0,7
12,12,0,6
6,6,0,5
3,3,0,4
2,2,0,3
12,12,0,8
1,1,0,0
4,4,0,4
1,1,0,1
7,7,0,5
8,8,0,5
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,2
2,2,0,3
1,1,0,1
12,12,0,8
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
1,1,0,1
6,6,0,5
10,10,0,6
3,3,0,3
1,1,0,2
1,1,0,1
3,3,0,4
5,5,0,4
10,10,0,7
8,8,0,6
4,4,0,4
6,6,0,5
7,7,0,5
2,2,0,2
10,10,0,6
12,12,0,6
3,3,0,3
7,7,0,5
9,9,0,5
12,12,0,8
1,1,0,0
13,13,0,7
6,6,0,5
1,1,0,2
3,3,0,4
1,1,0,1
1,1,0,0
1,1,0,2
2,2,0,2
1,1,0,1
3,3,0,4
1,1,0,2
3,3,0,2
6,6,0,5
4,4,0,4
1,1,0,0
1,1,0,1
4,4,0,4
4,4,0,4
1,1,0,2
3,3,0,3
1,1,0,0
3,3,0,3
10,10,0,7
2,2,0,3
3,3,0,4
8,8,0,6
1,1,0,0
13,13,0,7
2,2,0,3
5,5,0,4
