Nodes in Path,Nodes Explored,Execution Time,Distance,Cost
1,1,0,2,3
4,4,1,6,22.1359
1,1,0,2,3
2,2,0,4,7.07107
2,2,0,4,10
4,4,0,8,28.4605
2,2,0,4,7.07107
3,3,0,6,21
0,0,0,0,0
2,2,0,4,7.07107
4,4,7,8,28.4605
3,3,2,5,13.4164
4,4,1,7,22.6274
3,3,0,5,13.4164
4,4,3,8,28.4605
0,0,0,0,0
3,3,1,6,21
1,1,0,2,3
2,2,1,4,7.07107
3,3,4,6,21
4,4,2,6,19.799
2,2,0,4,10
3,3,3,6,15.6525
2,2,4,4,10
1,1,1,2,3
3,3,3,6,15.6525
4,4,3,6,19.799
2,2,1,4,7.07107
1,1,0,2,3
1,1,0,2,3
3,3,4,5,13.4164
3,3,1,5,13.4164
3,3,1,6,15.6525
3,3,1,6,15.6525
2,2,3,4,7.07107
3,3,1,5,13.4164
3,3,2,4,15
1,1,1,1,2
4,4,4,7,25.2982
3,3,1,6,15.6525
1,1,0,2,3
2,2,1,4,7.07107
1,1,1,2,3
2,2,3,4,7.07107
3,3,2,6,21
3,3,4,4,15
2,2,1,3,5.65685
2,2,1,3,5.65685
3,3,1,5,13.4164
0,0,1,0,0
3,3,3,5,13.4164
3,3,2,6,15.6525
3,3,1,6,15.6525
4,4,4,6,22.1359
5,5,2,10,39.6611
2,2,1,4,7.07107
2,2,1,4,7.07107
2,2,0,3,5.65685
3,3,1,6,15.6525
2,2,0,3,5.65685
3,3,1,5,13.4164
5,5,4,9,36.0555
1,1,1,1,2
2,2,1,3,5.65685
0,0,0,0,0
4,4,3,8,28.4605
3,3,2,6,15.6525
2,2,1,4,10
5,5,2,10,39.6611
1,1,3,2,3
3,3,3,6,15.6525
2,2,0,4,7.07107
0,0,0,0,0
5,5,5,10,39.6611
5,5,3,8,32.45
2,2,1,4,10
1,1,1,2,3
1,1,0,2,3
0,0,0,0,0
4,4,4,8,28.4605
3,3,2,6,15.6525
2,2,0,2,6
0,0,0,0,0
1,1,0,1,2
1,1,2,1,2
1,1,2,2,3
4,4,3,6,19.799
1,1,1,2,3
3,3,4,6,15.6525
5,5,3,10,39.6611
2,2,1,4,7.07107
3,3,2,5,13.4164
1,1,1,2,3
1,1,1,2,3
0,0,0,0,0
2,2,1,3,5.65685
3,3,1,6,21
1,1,0,2,3
2,2,2,4,10
1,1,0,1,2
