Nodes in Path,Nodes Explored,Execution Time,Distance,Cost,,,,,,,,,,,,
5,5,0,6,2.82843,,7,7,12,9,26.1665,,0.666666667,0.666666667,0,0.666666667,0.108093555
3,3,0,3,4.24264,,1,1,0,0,0,,0.333333333,0.333333333,0,0.333333333,0.162140141
3,3,0,4,2,,,,,,,,0.333333333,0.333333333,0,0.444444444,0.076433608
3,3,0,2,2,,,,,,,,0.333333333,0.333333333,0,0.222222222,0.076433608
3,3,0,4,2,,,,,,,,0.333333333,0.333333333,0,0.444444444,0.076433608
5,5,0,6,2.82843,,,,,,,,0.666666667,0.666666667,0,0.666666667,0.108093555
3,3,1,2,2,,,,,,,,0.333333333,0.333333333,0.083333333,0.222222222,0.076433608
3,3,3,3,1.41421,,,,,,,,0.333333333,0.333333333,0.25,0.333333333,0.054046586
5,5,5,5,3.16228,,,,,,,,0.666666667,0.666666667,0.416666667,0.555555556,0.120852235
6,6,3,7,10.8167,,,,,,,,0.833333333,0.833333333,0.25,0.777777778,0.413379703
3,3,5,3,1.41421,,,,,,,,0.333333333,0.333333333,0.416666667,0.333333333,0.054046586
5,5,2,6,8.48528,,,,,,,,0.666666667,0.666666667,0.166666667,0.666666667,0.324280282
2,2,2,1,1,,,,,,,,0.166666667,0.166666667,0.166666667,0.111111111,0.038216804
2,2,1,1,1,,,,,,,,0.166666667,0.166666667,0.083333333,0.111111111,0.038216804
4,4,3,5,2.23607,,,,,,,,0.5,0.5,0.25,0.555555556,0.085455449
2,2,0,1,3,,,,,,,,0.166666667,0.166666667,0,0.111111111,0.114650412
3,3,2,3,1.41421,,,,,,,,0.333333333,0.333333333,0.166666667,0.333333333,0.054046586
3,3,3,4,2,,,,,,,,0.333333333,0.333333333,0.25,0.444444444,0.076433608
5,5,2,7,8.46E+00,,,,,,,,0.666666667,0.666666667,0.166666667,0.777777778,0.323352378
2,2,1,2,"9,24",,,,,,,,0.166666667,0.166666667,0.083333333,0.222222222,#VALUE!
