Nodes in Path,Nodes Explored,Execution Time,Distance,,,,,,,,,,,
11,13,4,13,,,16,15,13,23,,0.666666667,0.866666667,0.307692308,0.565217391
13,14,0,17,,,1,0,0,0,,0.8,0.933333333,0,0.739130435
13,14,7,17,,,,,,,,0.8,0.933333333,0.538461538,0.739130435
4,6,4,4,,,,,,,,0.2,0.4,0.307692308,0.173913043
13,14,11,17,,,,,,,,0.8,0.933333333,0.846153846,0.739130435
10,13,8,14,,,,,,,,0.6,0.866666667,0.615384615,0.608695652
11,13,9,15,,,,,,,,0.666666667,0.866666667,0.692307692,0.652173913
1,0,0,0,,,,,,,,0,0,0,0
12,14,9,15,,,,,,,,0.733333333,0.933333333,0.692307692,0.652173913
2,3,0,1,,,,,,,,0.066666667,0.2,0,0.043478261
11,14,8,16,,,,,,,,0.666666667,0.933333333,0.615384615,0.695652174
4,6,1,4,,,,,,,,0.2,0.4,0.076923077,0.173913043
3,6,2,2,,,,,,,,0.133333333,0.4,0.153846154,0.086956522
4,9,2,4,,,,,,,,0.2,0.6,0.153846154,0.173913043
8,11,3,11,,,,,,,,0.466666667,0.733333333,0.230769231,0.47826087
15,15,12,21,,,,,,,,0.933333333,1,0.923076923,0.913043478
2,4,1,1,,,,,,,,0.066666667,0.266666667,0.076923077,0.043478261
7,10,3,9,,,,,,,,0.4,0.666666667,0.230769231,0.391304348
7,9,4,8,,,,,,,,0.4,0.6,0.307692308,0.347826087
8,10,3,10,,,,,,,,0.466666667,0.666666667,0.230769231,0.434782609
2,3,0,1,,,,,,,,0.066666667,0.2,0,0.043478261
12,13,7,16,,,,,,,,0.733333333,0.866666667,0.538461538,0.695652174
13,14,8,19,,,,,,,,0.8,0.933333333,0.615384615,0.826086957
8,13,3,10,,,,,,,,0.466666667,0.866666667,0.230769231,0.434782609
16,15,13,23,,,,,,,,1,1,1,1
8,11,5,11,,,,,,,,0.466666667,0.733333333,0.384615385,0.47826087
13,14,9,17,,,,,,,,0.8,0.933333333,0.692307692,0.739130435
12,14,7,15,,,,,,,,0.733333333,0.933333333,0.538461538,0.652173913
13,14,9,17,,,,,,,,0.8,0.933333333,0.692307692,0.739130435
4,5,1,4,,,,,,,,0.2,0.333333333,0.076923077,0.173913043
13,14,7,17,,,,,,,,0.8,0.933333333,0.538461538,0.739130435
6,8,2,7,,,,,,,,0.333333333,0.533333333,0.153846154,0.304347826
5,10,3,6,,,,,,,,0.266666667,0.666666667,0.230769231,0.260869565
15,15,8,21,,,,,,,,0.933333333,1,0.615384615,0.913043478
2,2,1,1,,,,,,,,0.066666667,0.133333333,0.076923077,0.043478261
14,15,12,18,,,,,,,,0.866666667,1,0.923076923,0.782608696
4,7,2,5,,,,,,,,0.2,0.466666667,0.153846154,0.217391304
7,11,6,9,,,,,,,,0.4,0.733333333,0.461538462,0.391304348
16,15,11,22,,,,,,,,1,1,0.846153846,0.956521739
1,0,0,0,,,,,,,,0,0,0,0
6,8,4,7,,,,,,,,0.333333333,0.533333333,0.307692308,0.304347826
15,15,9,21,,,,,,,,0.933333333,1,0.692307692,0.913043478
2,2,0,1,,,,,,,,0.066666667,0.133333333,0,0.043478261
9,11,4,12,,,,,,,,0.533333333,0.733333333,0.307692308,0.52173913
4,7,3,5,,,,,,,,0.2,0.466666667,0.230769231,0.217391304
11,14,6,15,,,,,,,,0.666666667,0.933333333,0.461538462,0.652173913
6,10,5,7,,,,,,,,0.333333333,0.666666667,0.384615385,0.304347826
8,10,3,9,,,,,,,,0.466666667,0.666666667,0.230769231,0.391304348
10,13,7,14,,,,,,,,0.6,0.866666667,0.538461538,0.608695652
10,13,5,14,,,,,,,,0.6,0.866666667,0.384615385,0.608695652
2,3,0,1,,,,,,,,0.066666667,0.2,0,0.043478261
6,10,3,7,,,,,,,,0.333333333,0.666666667,0.230769231,0.304347826
3,5,0,2,,,,,,,,0.133333333,0.333333333,0,0.086956522
14,15,7,18,,,,,,,,0.866666667,1,0.538461538,0.782608696
14,15,9,19,,,,,,,,0.866666667,1,0.692307692,0.826086957
6,8,2,7,,,,,,,,0.333333333,0.533333333,0.153846154,0.304347826
12,14,6,17,,,,,,,,0.733333333,0.933333333,0.461538462,0.739130435
1,0,0,0,,,,,,,,0,0,0,0
4,9,1,4,,,,,,,,0.2,0.6,0.076923077,0.173913043
10,13,5,13,,,,,,,,0.6,0.866666667,0.384615385,0.565217391
14,14,8,18,,,,,,,,0.866666667,0.933333333,0.615384615,0.782608696
14,14,7,18,,,,,,,,0.866666667,0.933333333,0.538461538,0.782608696
6,10,2,7,,,,,,,,0.333333333,0.666666667,0.153846154,0.304347826
14,14,8,18,,,,,,,,0.866666667,0.933333333,0.615384615,0.782608696
11,13,7,15,,,,,,,,0.666666667,0.866666667,0.538461538,0.652173913
3,6,0,3,,,,,,,,0.133333333,0.4,0,0.130434783
13,14,10,18,,,,,,,,0.8,0.933333333,0.769230769,0.782608696
2,2,0,1,,,,,,,,0.066666667,0.133333333,0,0.043478261
8,10,3,9,,,,,,,,0.466666667,0.666666667,0.230769231,0.391304348
13,14,8,17,,,,,,,,0.8,0.933333333,0.615384615,0.739130435
5,7,3,5,,,,,,,,0.266666667,0.466666667,0.230769231,0.217391304
15,15,8,21,,,,,,,,0.933333333,1,0.615384615,0.913043478
4,5,2,4,,,,,,,,0.2,0.333333333,0.153846154,0.173913043
9,11,3,12,,,,,,,,0.533333333,0.733333333,0.230769231,0.52173913
10,12,6,13,,,,,,,,0.6,0.8,0.461538462,0.565217391
10,14,6,13,,,,,,,,0.6,0.933333333,0.461538462,0.565217391
16,15,10,22,,,,,,,,1,1,0.769230769,0.956521739
5,7,1,5,,,,,,,,0.266666667,0.466666667,0.076923077,0.217391304
3,6,1,3,,,,,,,,0.133333333,0.4,0.076923077,0.130434783
7,11,5,9,,,,,,,,0.4,0.733333333,0.384615385,0.391304348
15,15,9,20,,,,,,,,0.933333333,1,0.692307692,0.869565217
3,5,1,2,,,,,,,,0.133333333,0.333333333,0.076923077,0.086956522
15,15,12,21,,,,,,,,0.933333333,1,0.923076923,0.913043478
4,6,6,5,,,,,,,,0.2,0.4,0.461538462,0.217391304
12,14,11,17,,,,,,,,0.733333333,0.933333333,0.846153846,0.739130435
11,14,8,15,,,,,,,,0.666666667,0.933333333,0.615384615,0.652173913
13,14,7,17,,,,,,,,0.8,0.933333333,0.538461538,0.739130435
10,12,6,12,,,,,,,,0.6,0.8,0.461538462,0.52173913
7,9,2,8,,,,,,,,0.4,0.6,0.153846154,0.347826087
8,11,6,11,,,,,,,,0.466666667,0.733333333,0.461538462,0.47826087
15,15,11,21,,,,,,,,0.933333333,1,0.846153846,0.913043478
11,14,5,15,,,,,,,,0.666666667,0.933333333,0.384615385,0.652173913
1,0,0,0,,,,,,,,0,0,0,0
2,4,3,1,,,,,,,,0.066666667,0.266666667,0.230769231,0.043478261
7,10,2,9,,,,,,,,0.4,0.666666667,0.153846154,0.391304348
9,11,6,12,,,,,,,,0.533333333,0.733333333,0.461538462,0.52173913
5,7,3,5,,,,,,,,0.266666667,0.466666667,0.230769231,0.217391304
9,13,4,12,,,,,,,,0.533333333,0.866666667,0.307692308,0.52173913
2,4,1,1,,,,,,,,0.066666667,0.266666667,0.076923077,0.043478261
4,9,2,4,,,,,,,,0.2,0.6,0.153846154,0.173913043
,,,,,,,,,,AVG,0.494,0.681333333,0.374615385,0.465217391
