Nodes in Path,Nodes Explored,Execution Time,Distance,,,,,,,,,,,
14,22,2,18,,,17,24,31,24,,0.8125,0.916666667,0.083333333,0.75
10,16,0,14,,,1,0,0,0,,0.5625,0.666666667,0,0.583333333
10,19,3,12,,,,,,,,0.5625,0.791666667,0.125,0.5
1,0,0,0,,,,,,,,0,0,0,0
2,4,4,2,,,,,,,,0.0625,0.166666667,0.166666667,0.083333333
2,3,1,2,,,,,,,,0.0625,0.125,0.041666667,0.083333333
16,24,13,24,,,,,,,,0.9375,1,0.541666667,1
8,13,5,11,,,,,,,,0.4375,0.541666667,0.208333333,0.458333333
10,17,7,14,,,,,,,,0.5625,0.708333333,0.291666667,0.583333333
4,6,1,4,,,,,,,,0.1875,0.25,0.041666667,0.166666667
10,19,3,12,,,,,,,,0.5625,0.791666667,0.125,0.5
16,24,12,23,,,,,,,,0.9375,1,0.5,0.958333333
4,6,2,5,,,,,,,,0.1875,0.25,0.083333333,0.208333333
6,12,8,6,,,,,,,,0.3125,0.5,0.333333333,0.25
2,4,2,2,,,,,,,,0.0625,0.166666667,0.083333333,0.083333333
16,24,29,23,,,,,,,,0.9375,1,1.208333333,0.958333333
9,14,16,10,,,,,,,,0.5,0.583333333,0.666666667,0.416666667
4,8,10,4,,,,,,,,0.1875,0.333333333,0.416666667,0.166666667
11,18,31,16,,,,,,,,0.625,0.75,1.291666667,0.666666667
5,11,6,6,,,,,,,,0.25,0.458333333,0.25,0.25
3,6,3,2,,,,,,,,0.125,0.25,0.125,0.083333333
15,23,12,22,,,,,,,,0.875,0.958333333,0.5,0.916666667
16,24,12,24,,,,,,,,0.9375,1,0.5,1
14,22,14,20,,,,,,,,0.8125,0.916666667,0.583333333,0.833333333
7,14,2,8,,,,,,,,0.375,0.583333333,0.083333333,0.333333333
15,24,12,21,,,,,,,,0.875,1,0.5,0.875
7,11,5,9,,,,,,,,0.375,0.458333333,0.208333333,0.375
5,8,2,6,,,,,,,,0.25,0.333333333,0.083333333,0.25
7,11,6,9,,,,,,,,0.375,0.458333333,0.25,0.375
1,0,1,0,,,,,,,,0,0,0.041666667,0
14,22,8,18,,,,,,,,0.8125,0.916666667,0.333333333,0.75
11,17,4,13,,,,,,,,0.625,0.708333333,0.166666667,0.541666667
2,3,0,1,,,,,,,,0.0625,0.125,0,0.041666667
4,6,5,4,,,,,,,,0.1875,0.25,0.208333333,0.166666667
16,24,18,24,,,,,,,,0.9375,1,0.75,1
13,20,9,19,,,,,,,,0.75,0.833333333,0.375,0.791666667
14,22,9,20,,,,,,,,0.8125,0.916666667,0.375,0.833333333
12,19,6,17,,,,,,,,0.6875,0.791666667,0.25,0.708333333
4,9,4,4,,,,,,,,0.1875,0.375,0.166666667,0.166666667
16,24,12,22,,,,,,,,0.9375,1,0.5,0.916666667
9,14,7,13,,,,,,,,0.5,0.583333333,0.291666667,0.541666667
1,0,0,0,,,,,,,,0,0,0,0
10,18,6,14,,,,,,,,0.5625,0.75,0.25,0.583333333
1,0,0,0,,,,,,,,0,0,0,0
1,0,0,0,,,,,,,,0,0,0,0
10,19,4,12,,,,,,,,0.5625,0.791666667,0.166666667,0.5
7,14,5,8,,,,,,,,0.375,0.583333333,0.208333333,0.333333333
10,16,5,14,,,,,,,,0.5625,0.666666667,0.208333333,0.583333333
1,0,1,0,,,,,,,,0,0,0.041666667,0
10,16,6,12,,,,,,,,0.5625,0.666666667,0.25,0.5
12,20,8,17,,,,,,,,0.6875,0.833333333,0.333333333,0.708333333
12,19,8,16,,,,,,,,0.6875,0.791666667,0.333333333,0.666666667
4,9,3,4,,,,,,,,0.1875,0.375,0.125,0.166666667
3,6,2,2,,,,,,,,0.125,0.25,0.083333333,0.083333333
8,13,6,11,,,,,,,,0.4375,0.541666667,0.25,0.458333333
8,13,8,11,,,,,,,,0.4375,0.541666667,0.333333333,0.458333333
12,19,11,14,,,,,,,,0.6875,0.791666667,0.458333333,0.583333333
2,3,0,2,,,,,,,,0.0625,0.125,0,0.083333333
11,18,9,14,,,,,,,,0.625,0.75,0.375,0.583333333
2,4,1,2,,,,,,,,0.0625,0.166666667,0.041666667,0.083333333
9,15,6,12,,,,,,,,0.5,0.625,0.25,0.5
7,11,4,9,,,,,,,,0.375,0.458333333,0.166666667,0.375
12,20,5,17,,,,,,,,0.6875,0.833333333,0.208333333,0.708333333
2,3,2,1,,,,,,,,0.0625,0.125,0.083333333,0.041666667
8,12,3,10,,,,,,,,0.4375,0.5,0.125,0.416666667
4,9,2,4,,,,,,,,0.1875,0.375,0.083333333,0.166666667
17,22,9,22,,,,,,,,1,0.916666667,0.375,0.916666667
9,14,6,12,,,,,,,,0.5,0.583333333,0.25,0.5
13,21,9,19,,,,,,,,0.75,0.875,0.375,0.791666667
10,17,7,13,,,,,,,,0.5625,0.708333333,0.291666667,0.541666667
8,14,5,11,,,,,,,,0.4375,0.583333333,0.208333333,0.458333333
10,16,7,14,,,,,,,,0.5625,0.666666667,0.291666667,0.583333333
13,21,9,19,,,,,,,,0.75,0.875,0.375,0.791666667
13,21,7,19,,,,,,,,0.75,0.875,0.291666667,0.791666667
7,11,3,9,,,,,,,,0.375,0.458333333,0.125,0.375
7,12,4,9,,,,,,,,0.375,0.5,0.166666667,0.375
5,10,2,6,,,,,,,,0.25,0.416666667,0.083333333,0.25
6,13,1,6,,,,,,,,0.3125,0.541666667,0.041666667,0.25
17,22,9,22,,,,,,,,1,0.916666667,0.375,0.916666667
7,14,5,8,,,,,,,,0.375,0.583333333,0.208333333,0.333333333
9,14,4,13,,,,,,,,0.5,0.583333333,0.166666667,0.541666667
16,24,12,22,,,,,,,,0.9375,1,0.5,0.916666667
2,2,2,2,,,,,,,,0.0625,0.083333333,0.083333333,0.083333333
12,20,7,16,,,,,,,,0.6875,0.833333333,0.291666667,0.666666667
8,13,4,11,,,,,,,,0.4375,0.541666667,0.166666667,0.458333333
15,23,11,22,,,,,,,,0.875,0.958333333,0.458333333,0.916666667
2,2,1,2,,,,,,,,0.0625,0.083333333,0.041666667,0.083333333
15,23,10,22,,,,,,,,0.875,0.958333333,0.416666667,0.916666667
3,6,1,2,,,,,,,,0.125,0.25,0.041666667,0.083333333
6,11,2,7,,,,,,,,0.3125,0.458333333,0.083333333,0.291666667
16,24,9,23,,,,,,,,0.9375,1,0.375,0.958333333
9,14,5,12,,,,,,,,0.5,0.583333333,0.208333333,0.5
7,12,3,8,,,,,,,,0.375,0.5,0.125,0.333333333
1,0,0,0,,,,,,,,0,0,0,0
11,18,7,15,,,,,,,,0.625,0.75,0.291666667,0.625
11,19,9,14,,,,,,,,0.625,0.791666667,0.375,0.583333333
14,22,10,20,,,,,,,,0.8125,0.916666667,0.416666667,0.833333333
15,23,9,22,,,,,,,,0.875,0.958333333,0.375,0.916666667
14,22,9,20,,,,,,,,0.8125,0.916666667,0.375,0.833333333
16,24,11,24,,,,,,,,0.9375,1,0.458333333,1
,,,,,,,,,,AVG,0.485,0.586666667,0.258333333,0.481666667
