Nodes in Path,Nodes Explored,Execution Time,Distance,,,,,,,,,,,
3,6,1,4,,,19,24,14,34,,0.111111111,0.25,0.071428571,0.117647059
3,5,1,4,,,1,0,0,0,,0.111111111,0.208333333,0.071428571,0.117647059
11,18,2,18,,,,,,,,0.555555556,0.75,0.142857143,0.529411765
7,15,0,11,,,,,,,,0.333333333,0.625,0,0.323529412
5,11,0,7,,,,,,,,0.222222222,0.458333333,0,0.205882353
12,20,11,21,,,,,,,,0.611111111,0.833333333,0.785714286,0.617647059
4,9,6,6,,,,,,,,0.166666667,0.375,0.428571429,0.176470588
12,21,12,19,,,,,,,,0.611111111,0.875,0.857142857,0.558823529
7,13,6,10,,,,,,,,0.333333333,0.541666667,0.428571429,0.294117647
19,24,10,33,,,,,,,,1,1,0.714285714,0.970588235
19,24,9,33,,,,,,,,1,1,0.642857143,0.970588235
8,13,4,13,,,,,,,,0.388888889,0.541666667,0.285714286,0.382352941
3,6,0,4,,,,,,,,0.111111111,0.25,0,0.117647059
8,13,5,12,,,,,,,,0.388888889,0.541666667,0.357142857,0.352941176
6,10,3,9,,,,,,,,0.277777778,0.416666667,0.214285714,0.264705882
7,15,5,11,,,,,,,,0.333333333,0.625,0.357142857,0.323529412
8,14,3,13,,,,,,,,0.388888889,0.583333333,0.214285714,0.382352941
8,13,7,12,,,,,,,,0.388888889,0.541666667,0.5,0.352941176
7,15,4,10,,,,,,,,0.333333333,0.625,0.285714286,0.294117647
10,16,6,15,,,,,,,,0.5,0.666666667,0.428571429,0.441176471
6,9,2,9,,,,,,,,0.277777778,0.375,0.142857143,0.264705882
10,16,7,16,,,,,,,,0.5,0.666666667,0.5,0.470588235
4,9,1,6,,,,,,,,0.166666667,0.375,0.071428571,0.176470588
9,14,5,14,,,,,,,,0.444444444,0.583333333,0.357142857,0.411764706
15,23,10,25,,,,,,,,0.777777778,0.958333333,0.714285714,0.735294118
7,15,3,11,,,,,,,,0.333333333,0.625,0.214285714,0.323529412
5,10,4,7,,,,,,,,0.222222222,0.416666667,0.285714286,0.205882353
14,22,8,22,,,,,,,,0.722222222,0.916666667,0.571428571,0.647058824
4,6,2,6,,,,,,,,0.166666667,0.25,0.142857143,0.176470588
3,4,0,4,,,,,,,,0.111111111,0.166666667,0,0.117647059
16,24,11,26,,,,,,,,0.833333333,1,0.785714286,0.764705882
16,24,14,25,,,,,,,,0.833333333,1,1,0.735294118
8,16,5,12,,,,,,,,0.388888889,0.666666667,0.357142857,0.352941176
8,13,6,13,,,,,,,,0.388888889,0.541666667,0.428571429,0.382352941
16,24,10,25,,,,,,,,0.833333333,1,0.714285714,0.735294118
7,12,4,11,,,,,,,,0.333333333,0.5,0.285714286,0.323529412
3,4,1,3,,,,,,,,0.111111111,0.166666667,0.071428571,0.088235294
19,24,9,34,,,,,,,,1,1,0.642857143,1
18,23,8,32,,,,,,,,0.944444444,0.958333333,0.571428571,0.941176471
8,17,3,12,,,,,,,,0.388888889,0.708333333,0.214285714,0.352941176
12,20,6,20,,,,,,,,0.611111111,0.833333333,0.428571429,0.588235294
10,17,5,15,,,,,,,,0.5,0.708333333,0.357142857,0.441176471
5,11,3,7,,,,,,,,0.222222222,0.458333333,0.214285714,0.205882353
11,19,5,17,,,,,,,,0.555555556,0.791666667,0.357142857,0.5
9,14,6,13,,,,,,,,0.444444444,0.583333333,0.428571429,0.382352941
8,16,7,12,,,,,,,,0.388888889,0.666666667,0.5,0.352941176
3,4,1,4,,,,,,,,0.111111111,0.166666667,0.071428571,0.117647059
1,0,1,0,,,,,,,,0,0,0.071428571,0
1,0,0,0,,,,,,,,0,0,0,0
3,6,2,4,,,,,,,,0.111111111,0.25,0.142857143,0.117647059
12,21,9,19,,,,,,,,0.611111111,0.875,0.642857143,0.558823529
15,23,14,25,,,,,,,,0.777777778,0.958333333,1,0.735294118
16,24,13,27,,,,,,,,0.833333333,1,0.928571429,0.794117647
10,19,7,16,,,,,,,,0.5,0.791666667,0.5,0.470588235
16,24,11,28,,,,,,,,0.833333333,1,0.785714286,0.823529412
7,15,5,11,,,,,,,,0.333333333,0.625,0.357142857,0.323529412
4,9,1,6,,,,,,,,0.166666667,0.375,0.071428571,0.176470588
7,12,3,11,,,,,,,,0.333333333,0.5,0.214285714,0.323529412
9,14,4,14,,,,,,,,0.444444444,0.583333333,0.285714286,0.411764706
7,15,3,10,,,,,,,,0.333333333,0.625,0.214285714,0.294117647
15,23,9,26,,,,,,,,0.777777778,0.958333333,0.642857143,0.764705882
5,11,3,7,,,,,,,,0.222222222,0.458333333,0.214285714,0.205882353
4,6,2,5,,,,,,,,0.166666667,0.25,0.142857143,0.147058824
2,2,0,2,,,,,,,,0.055555556,0.083333333,0,0.058823529
4,9,1,6,,,,,,,,0.166666667,0.375,0.071428571,0.176470588
12,20,7,20,,,,,,,,0.611111111,0.833333333,0.5,0.588235294
1,0,0,0,,,,,,,,0,0,0,0
9,14,4,15,,,,,,,,0.444444444,0.583333333,0.285714286,0.441176471
9,16,5,14,,,,,,,,0.444444444,0.666666667,0.357142857,0.411764706
16,24,9,25,,,,,,,,0.833333333,1,0.642857143,0.735294118
9,16,7,14,,,,,,,,0.444444444,0.666666667,0.5,0.411764706
12,20,7,20,,,,,,,,0.611111111,0.833333333,0.5,0.588235294
14,22,12,23,,,,,,,,0.722222222,0.916666667,0.857142857,0.676470588
15,23,12,25,,,,,,,,0.777777778,0.958333333,0.857142857,0.735294118
13,21,13,22,,,,,,,,0.666666667,0.875,0.928571429,0.647058824
12,20,8,21,,,,,,,,0.611111111,0.833333333,0.571428571,0.617647059
16,24,9,27,,,,,,,,0.833333333,1,0.642857143,0.794117647
15,23,8,26,,,,,,,,0.777777778,0.958333333,0.571428571,0.764705882
10,16,7,16,,,,,,,,0.5,0.666666667,0.5,0.470588235
1,0,0,0,,,,,,,,0,0,0,0
7,15,2,11,,,,,,,,0.333333333,0.625,0.142857143,0.323529412
2,2,0,2,,,,,,,,0.055555556,0.083333333,0,0.058823529
8,14,5,12,,,,,,,,0.388888889,0.583333333,0.357142857,0.352941176
14,22,9,22,,,,,,,,0.722222222,0.916666667,0.642857143,0.647058824
11,18,7,17,,,,,,,,0.555555556,0.75,0.5,0.5
3,6,1,4,,,,,,,,0.111111111,0.25,0.071428571,0.117647059
8,17,2,13,,,,,,,,0.388888889,0.708333333,0.142857143,0.382352941
4,6,3,6,,,,,,,,0.166666667,0.25,0.214285714,0.176470588
8,15,3,12,,,,,,,,0.388888889,0.625,0.214285714,0.352941176
7,13,2,10,,,,,,,,0.333333333,0.541666667,0.142857143,0.294117647
7,15,6,11,,,,,,,,0.333333333,0.625,0.428571429,0.323529412
13,21,9,21,,,,,,,,0.666666667,0.875,0.642857143,0.617647059
19,24,12,34,,,,,,,,1,1,0.857142857,1
6,13,4,9,,,,,,,,0.277777778,0.541666667,0.285714286,0.264705882
5,10,4,7,,,,,,,,0.222222222,0.416666667,0.285714286,0.205882353
6,11,2,9,,,,,,,,0.277777778,0.458333333,0.142857143,0.264705882
11,18,8,18,,,,,,,,0.555555556,0.75,0.571428571,0.529411765
3,6,0,4,,,,,,,,0.111111111,0.25,0,0.117647059
18,23,10,31,,,,,,,,0.944444444,0.958333333,0.714285714,0.911764706
1,0,0,0,,,,,,,,0,0,0,0
,,,,,,,,,,AVG,0.435555556,0.605,0.375714286,0.412941176
