Nodes in Path,Nodes Explored,Execution Time,Distance,,,,,,,,,,,
16,24,4,23,,,16,24,12,24,,1,1,0.333333333,0.958333333
8,12,0,10,,,1,0,0,0,,0.466666667,0.5,0,0.416666667
1,0,0,0,,,,,,,,0,0,0,0
16,24,12,24,,,,,,,,1,1,1,1
13,21,8,18,,,,,,,,0.8,0.875,0.666666667,0.75
1,0,0,0,,,,,,,,0,0,0,0
14,22,8,20,,,,,,,,0.866666667,0.916666667,0.666666667,0.833333333
6,10,5,7,,,,,,,,0.333333333,0.416666667,0.416666667,0.291666667
7,11,4,9,,,,,,,,0.4,0.458333333,0.333333333,0.375
6,11,3,8,,,,,,,,0.333333333,0.458333333,0.25,0.333333333
12,20,6,17,,,,,,,,0.733333333,0.833333333,0.5,0.708333333
5,7,3,6,,,,,,,,0.266666667,0.291666667,0.25,0.25
9,16,4,11,,,,,,,,0.533333333,0.666666667,0.333333333,0.458333333
4,9,1,4,,,,,,,,0.2,0.375,0.083333333,0.166666667
11,17,9,13,,,,,,,,0.666666667,0.708333333,0.75,0.541666667
4,6,3,4,,,,,,,,0.2,0.25,0.25,0.166666667
16,24,12,24,,,,,,,,1,1,1,1
9,14,3,11,,,,,,,,0.533333333,0.583333333,0.25,0.458333333
11,19,6,16,,,,,,,,0.666666667,0.791666667,0.5,0.666666667
6,9,3,8,,,,,,,,0.333333333,0.375,0.25,0.333333333
6,10,2,8,,,,,,,,0.333333333,0.416666667,0.166666667,0.333333333
16,24,11,22,,,,,,,,1,1,0.916666667,0.916666667
14,22,10,20,,,,,,,,0.866666667,0.916666667,0.833333333,0.833333333
12,21,9,14,,,,,,,,0.733333333,0.875,0.75,0.583333333
8,12,5,10,,,,,,,,0.466666667,0.5,0.416666667,0.416666667
4,9,3,4,,,,,,,,0.2,0.375,0.25,0.166666667
7,14,2,8,,,,,,,,0.4,0.583333333,0.166666667,0.333333333
10,17,7,14,,,,,,,,0.6,0.708333333,0.583333333,0.583333333
4,6,1,4,,,,,,,,0.2,0.25,0.083333333,0.166666667
2,3,0,1,,,,,,,,0.066666667,0.125,0,0.041666667
8,16,6,9,,,,,,,,0.466666667,0.666666667,0.5,0.375
13,21,9,18,,,,,,,,0.8,0.875,0.75,0.75
4,7,2,4,,,,,,,,0.2,0.291666667,0.166666667,0.166666667
16,24,11,24,,,,,,,,1,1,0.916666667,1
5,10,4,6,,,,,,,,0.266666667,0.416666667,0.333333333,0.25
8,13,4,11,,,,,,,,0.466666667,0.541666667,0.333333333,0.458333333
4,6,3,4,,,,,,,,0.2,0.25,0.25,0.166666667
15,23,11,21,,,,,,,,0.933333333,0.958333333,0.916666667,0.875
5,11,1,5,,,,,,,,0.266666667,0.458333333,0.083333333,0.208333333
14,22,8,20,,,,,,,,0.866666667,0.916666667,0.666666667,0.833333333
2,3,0,2,,,,,,,,0.066666667,0.125,0,0.083333333
4,6,1,5,,,,,,,,0.2,0.25,0.083333333,0.208333333
10,16,6,14,,,,,,,,0.6,0.666666667,0.5,0.583333333
4,6,2,5,,,,,,,,0.2,0.25,0.166666667,0.208333333
1,0,0,0,,,,,,,,0,0,0,0
9,15,6,12,,,,,,,,0.533333333,0.625,0.5,0.5
8,13,5,11,,,,,,,,0.466666667,0.541666667,0.416666667,0.458333333
9,14,5,12,,,,,,,,0.533333333,0.583333333,0.416666667,0.5
3,6,0,2,,,,,,,,0.133333333,0.25,0,0.083333333
8,14,8,11,,,,,,,,0.466666667,0.583333333,0.666666667,0.458333333
14,22,11,19,,,,,,,,0.866666667,0.916666667,0.916666667,0.791666667
4,6,2,4,,,,,,,,0.2,0.25,0.166666667,0.166666667
9,17,4,10,,,,,,,,0.533333333,0.708333333,0.333333333,0.416666667
14,22,10,20,,,,,,,,0.866666667,0.916666667,0.833333333,0.833333333
4,6,3,5,,,,,,,,0.2,0.25,0.25,0.208333333
7,11,4,9,,,,,,,,0.4,0.458333333,0.333333333,0.375
14,22,10,20,,,,,,,,0.866666667,0.916666667,0.833333333,0.833333333
11,18,9,15,,,,,,,,0.666666667,0.75,0.75,0.625
5,7,4,6,,,,,,,,0.266666667,0.291666667,0.333333333,0.25
15,23,12,20,,,,,,,,0.933333333,0.958333333,1,0.833333333
16,24,11,22,,,,,,,,1,1,0.916666667,0.916666667
6,9,2,7,,,,,,,,0.333333333,0.375,0.166666667,0.291666667
8,13,4,10,,,,,,,,0.466666667,0.541666667,0.333333333,0.416666667
7,14,2,8,,,,,,,,0.4,0.583333333,0.166666667,0.333333333
7,12,4,8,,,,,,,,0.4,0.5,0.333333333,0.333333333
13,21,9,19,,,,,,,,0.8,0.875,0.75,0.791666667
12,19,6,16,,,,,,,,0.733333333,0.791666667,0.5,0.666666667
4,6,3,5,,,,,,,,0.2,0.25,0.25,0.208333333
7,11,3,9,,,,,,,,0.4,0.458333333,0.25,0.375
11,18,7,15,,,,,,,,0.666666667,0.75,0.583333333,0.625
10,19,8,12,,,,,,,,0.6,0.791666667,0.666666667,0.5
6,9,4,8,,,,,,,,0.333333333,0.375,0.333333333,0.333333333
7,11,7,9,,,,,,,,0.4,0.458333333,0.583333333,0.375
4,8,2,4,,,,,,,,0.2,0.333333333,0.166666667,0.166666667
3,4,3,3,,,,,,,,0.133333333,0.166666667,0.25,0.125
13,21,10,19,,,,,,,,0.8,0.875,0.833333333,0.791666667
1,0,0,0,,,,,,,,0,0,0,0
2,3,0,2,,,,,,,,0.066666667,0.125,0,0.083333333
6,10,4,7,,,,,,,,0.333333333,0.416666667,0.333333333,0.291666667
9,15,8,12,,,,,,,,0.533333333,0.625,0.666666667,0.5
9,14,9,13,,,,,,,,0.533333333,0.583333333,0.75,0.541666667
9,15,9,12,,,,,,,,0.533333333,0.625,0.75,0.5
1,0,0,0,,,,,,,,0,0,0,0
10,18,9,14,,,,,,,,0.6,0.75,0.75,0.583333333
1,0,0,0,,,,,,,,0,0,0,0
7,14,8,8,,,,,,,,0.4,0.583333333,0.666666667,0.333333333
10,16,7,14,,,,,,,,0.6,0.666666667,0.583333333,0.583333333
11,20,6,13,,,,,,,,0.666666667,0.833333333,0.5,0.541666667
14,23,8,20,,,,,,,,0.866666667,0.958333333,0.666666667,0.833333333
13,20,7,19,,,,,,,,0.8,0.833333333,0.583333333,0.791666667
11,18,6,15,,,,,,,,0.666666667,0.75,0.5,0.625
14,22,10,20,,,,,,,,0.866666667,0.916666667,0.833333333,0.833333333
5,8,2,6,,,,,,,,0.266666667,0.333333333,0.166666667,0.25
13,21,8,17,,,,,,,,0.8,0.875,0.666666667,0.708333333
12,20,8,17,,,,,,,,0.733333333,0.833333333,0.666666667,0.708333333
8,13,6,11,,,,,,,,0.466666667,0.541666667,0.5,0.458333333
1,0,0,0,,,,,,,,0,0,0,0
4,9,2,4,,,,,,,,0.2,0.375,0.166666667,0.166666667
10,16,8,14,,,,,,,,0.6,0.666666667,0.666666667,0.583333333
9,14,8,13,,,,,,,,0.533333333,0.583333333,0.666666667,0.541666667
,,,,,,,,,,AVG,0.486,0.559166667,0.435833333,0.452916667
