Nodes in Path,Nodes Explored,Execution Time,Distance
16,15,0,7
5,4,0,1
15,14,0,6
12,11,0,6
13,12,0,6
11,10,0,4
10,9,0,3
10,9,0,6
10,9,0,6
11,10,0,3
16,15,0,6
5,4,0,1
4,3,0,2
4,3,0,2
11,10,0,5
14,13,0,7
16,15,0,8
14,13,0,7
15,14,0,5
5,4,0,2
15,14,0,5
4,3,0,1
9,8,0,5
5,4,0,1
4,3,0,2
10,9,0,3
6,5,0,2
13,12,0,7
16,15,0,9
5,4,0,0
8,7,0,4
6,5,0,4
10,9,0,3
8,7,0,4
5,4,0,1
15,14,0,5
4,3,0,1
13,12,0,6
12,11,0,6
6,5,0,2
4,3,0,1
4,3,0,1
11,10,0,4
10,9,0,6
7,6,0,3
4,3,0,0
16,15,0,6
4,3,0,2
6,5,0,3
14,13,0,5
4,3,0,0
14,13,0,4
16,15,0,8
12,11,0,5
8,7,0,3
3,2,0,1
9,8,0,4
8,7,0,2
15,14,0,8
4,3,0,2
6,5,0,4
15,14,0,5
4,3,0,2
14,13,0,5
9,8,0,5
10,9,0,6
12,11,0,6
5,4,0,1
4,3,0,0
7,6,0,2
5,4,0,1
5,4,0,3
5,4,0,1
3,2,0,1
10,9,0,5
14,13,0,7
4,3,0,0
10,9,0,3
11,10,0,5
11,10,0,4
4,3,0,1
11,10,0,4
8,7,0,3
6,5,0,3
15,14,0,6
9,8,0,5
4,3,0,0
14,13,0,7
7,6,0,2
7,6,0,3
4,3,0,1
8,7,0,4
8,7,0,3
7,6,0,3
4,3,0,1
4,3,0,1
4,3,0,2
8,7,0,3
7,6,0,3
15,14,0,7
