Nodes in Path,Nodes Explored,Execution Time,Distance,,,,,,,,,,,
12,12,0,8,,,13,13,0,8,,0.916666667,0.916666667,1,1
2,2,0,3,,,1,1,0,0,,0.083333333,0.083333333,1,0.375
2,2,0,2,,,,,,,,0.083333333,0.083333333,1,0.25
13,13,0,7,,,,,,,,1,1,1,0.875
12,12,0,8,,,,,,,,0.916666667,0.916666667,1,1
10,10,0,7,,,,,,,,0.75,0.75,1,0.875
4,4,0,4,,,,,,,,0.25,0.25,1,0.5
6,6,0,5,,,,,,,,0.416666667,0.416666667,1,0.625
5,5,0,4,,,,,,,,0.333333333,0.333333333,1,0.5
3,3,0,3,,,,,,,,0.166666667,0.166666667,1,0.375
10,10,0,6,,,,,,,,0.75,0.75,1,0.75
3,3,0,4,,,,,,,,0.166666667,0.166666667,1,0.5
12,12,0,8,,,,,,,,0.916666667,0.916666667,1,1
1,1,0,1,,,,,,,,0,0,1,0.125
1,1,0,2,,,,,,,,0,0,1,0.25
2,2,0,2,,,,,,,,0.083333333,0.083333333,1,0.25
5,5,0,4,,,,,,,,0.333333333,0.333333333,1,0.5
6,6,0,4,,,,,,,,0.416666667,0.416666667,1,0.5
5,5,0,5,,,,,,,,0.333333333,0.333333333,1,0.625
5,5,0,5,,,,,,,,0.333333333,0.333333333,1,0.625
9,9,0,7,,,,,,,,0.666666667,0.666666667,1,0.875
2,2,0,3,,,,,,,,0.083333333,0.083333333,1,0.375
7,7,0,5,,,,,,,,0.5,0.5,1,0.625
10,10,0,5,,,,,,,,0.75,0.75,1,0.625
2,2,0,3,,,,,,,,0.083333333,0.083333333,1,0.375
1,1,0,2,,,,,,,,0,0,1,0.25
4,4,0,4,,,,,,,,0.25,0.25,1,0.5
11,11,0,7,,,,,,,,0.833333333,0.833333333,1,0.875
8,8,0,6,,,,,,,,0.583333333,0.583333333,1,0.75
7,7,0,5,,,,,,,,0.5,0.5,1,0.625
4,4,0,4,,,,,,,,0.25,0.25,1,0.5
3,3,0,3,,,,,,,,0.166666667,0.166666667,1,0.375
12,12,0,8,,,,,,,,0.916666667,0.916666667,1,1
1,1,0,0,,,,,,,,0,0,1,0
5,5,0,4,,,,,,,,0.333333333,0.333333333,1,0.5
1,1,0,1,,,,,,,,0,0,1,0.125
5,5,0,5,,,,,,,,0.333333333,0.333333333,1,0.625
6,6,0,5,,,,,,,,0.416666667,0.416666667,1,0.625
1,1,0,1,,,,,,,,0,0,1,0.125
1,1,0,1,,,,,,,,0,0,1,0.125
1,1,0,1,,,,,,,,0,0,1,0.125
1,1,0,2,,,,,,,,0,0,1,0.25
3,3,0,3,,,,,,,,0.166666667,0.166666667,1,0.375
1,1,0,1,,,,,,,,0,0,1,0.125
12,12,0,8,,,,,,,,0.916666667,0.916666667,1,1
1,1,0,1,,,,,,,,0,0,1,0.125
1,1,0,1,,,,,,,,0,0,1,0.125
1,1,0,1,,,,,,,,0,0,1,0.125
1,1,0,1,,,,,,,,0,0,1,0.125
1,1,0,1,,,,,,,,0,0,1,0.125
7,7,0,5,,,,,,,,0.5,0.5,1,0.625
8,8,0,6,,,,,,,,0.583333333,0.583333333,1,0.75
2,2,0,3,,,,,,,,0.083333333,0.083333333,1,0.375
1,1,0,2,,,,,,,,0,0,1,0.25
1,1,0,1,,,,,,,,0,0,1,0.125
4,4,0,4,,,,,,,,0.25,0.25,1,0.5
4,4,0,4,,,,,,,,0.25,0.25,1,0.5
9,9,0,7,,,,,,,,0.666666667,0.666666667,1,0.875
10,10,0,6,,,,,,,,0.75,0.75,1,0.75
4,4,0,4,,,,,,,,0.25,0.25,1,0.5
6,6,0,5,,,,,,,,0.416666667,0.416666667,1,0.625
7,7,0,5,,,,,,,,0.5,0.5,1,0.625
2,2,0,2,,,,,,,,0.083333333,0.083333333,1,0.25
8,8,0,6,,,,,,,,0.583333333,0.583333333,1,0.75
7,7,0,6,,,,,,,,0.5,0.5,1,0.75
2,2,0,3,,,,,,,,0.083333333,0.083333333,1,0.375
8,8,0,5,,,,,,,,0.583333333,0.583333333,1,0.625
5,5,0,5,,,,,,,,0.333333333,0.333333333,1,0.625
12,12,0,8,,,,,,,,0.916666667,0.916666667,1,1
1,1,0,0,,,,,,,,0,0,1,0
10,10,0,7,,,,,,,,0.75,0.75,1,0.875
